,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family,Subfamily,Genus,GenusIcon,ISO_codes,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
ape,Ampeeli,Papunesia,-6.75,146.083333333,apz,Trans-New Guinea,,Angan,d99ffff,apz,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
api,Apinayé,South America,-5.5,-48.0,apn,Macro-Ge,,Ge-Kaingang,sffffff,apn,BR,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,2.0,,2.0,,,5.0,2.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,3.0,,,,7.0,,,,,,,,1.0,,,,,,,,,,,1.0,,9.0,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,2.0,,,
apj,Apache (Jicarilla),North America,36.5833333333,-104.0,apj,Na-Dene,,Athapaskan,c99ffff,apj,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apk,A-Pucikwar,Eurasia,12.1666666667,92.8333333333,apq,Great Andamanese,,Great Andamanese,tdd0000,apq,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
apl,Apalaí,South America,0.0,-54.0,apy,Cariban,,Cariban,dffffff,apy,BR,,2.0,,,,,,,,,,,,,,,1.0,2.0,1.0,,6.0,4.0,2.0,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,15.0,19.0,,,4.0,4.0,8.0,2.0,,,,,,9.0,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,7.0,,,1.0,5.0,5.0,,,,,3.0,1.0,,,,,,,,,,9.0,,,,,,1.0,,,,,,,3.0,2.0,,,,,,2.0,,1.0,1.0,4.0,2.0,,,,3.0,4.0,,,,,7.0,5.0,3.0,1.0,5.0,1.0,1.0,2.0,,3.0,,,,,,,,,2.0,6.0,2.0,4.0,1.0,,2.0,,,
apt,Apatani,Eurasia,27.5,93.75,apt,Sino-Tibetan,Tibeto-Burman,Tani,faa0000,apt,IN,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,2.0,,4.0,4.0,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,2.0,1.0,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,,
apu,Apurinã,South America,-9.0,-67.0,apu,Arawakan,,Purus,c990099,apu,BR,4.0,2.0,5.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0,8.0,5.0,1.0,,,2.0,2.0,1.0,7.0,,6.0,,,,1.0,,,,,4.0,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,1.0,,,,1.0,4.0,4.0,16.0,,,13.0,2.0,,,1.0,1.0,7.0,4.0,,,,,,,,,,,,,,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,6.0,3.0,4.0,5.0,5.0,3.0,,3.0,3.0,2.0,1.0,5.0,3.0,1.0,,2.0,1.0,9.0,1.0,2.0,6.0,,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,,3.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,,4.0,2.0,2.0,2.0,,2.0,2.0,4.0,5.0,1.0,1.0,2.0,,1.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,6.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0
apw,Apache (Western),North America,33.75,-110.0,apw,Na-Dene,,Athapaskan,c99ffff,apw,US,,2.0,,,,,,,,,,,,,,,6.0,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,14.0,2.0,,,1.0,2.0,4.0,18.0,,,,,,,,,,,16.0,,10.0,,4.0,3.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,4.0,,,,1.0,2.0,,1.0,,1.0,,,,,1.0,6.0,2.0,,,2.0,,,,
ara,Arawak,South America,5.5,-55.1666666667,arw,Arawakan,,Caribbean Arawakan,cffcc00,arw,SR,4.0,2.0,5.0,2.0,2.0,1.0,,1.0,,,,,,,,,2.0,,,,6.0,,,,,,,,,4.0,,,,,2.0,,2.0,,3.0,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,21.0,,,12.0,,,,4.0,8.0,,,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,4.0,,,,,,,,2.0,5.0,,,1.0,2.0,,,,,,,,3.0,,,,3.0,,,,9.0,,,,1.0,,1.0,,,,,,4.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,2.0,2.0,,,,,,6.0,,,3.0,5.0,3.0,,,3.0
arb,Arabela,South America,-2.0,-75.1666666667,arl,Zaparoan,,Zaparoan,tffffcc,arl,PE,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,5.0,2.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,7.0,1.0,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0
arc,Archi,Eurasia,42.0,46.8333333333,aqc,Nakh-Daghestanian,Daghestanian,Lezgic,cff6600,aqc,RU,,,,,,,,,2.0,1.0,8.0,5.0,,,,,1.0,,,,2.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,5.0,5.0,1.0,4.0,5.0,,,,,,,,,2.0,,,,2.0,4.0,2.0,2.0,2.0,,,,2.0,2.0,,,5.0,,,,,,,,,,,4.0,,1.0,,,,,,4.0,,,,1.0,,,1.0,1.0,,,,,,2.0,4.0,,,,1.0,,,,2.0,2.0,,,2.0,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,6.0,2.0,,1.0,,1.0,,,3.0
ard,Arandai,Papunesia,-2.08333333333,133.0,jbj,South Bird's Head,,South Bird's Head Proper,fcccccc,jbj,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arg,Arabic (Gulf),Eurasia,26.0,49.0,afb,Afro-Asiatic,,Semitic,cdd0000,afb,KW OM QA IR SA IQ BH,,2.0,,,,,,,,,,,,,,,2.0,,,,6.0,,,,,,1.0,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,1.0,3.0,2.0,,,,,,,,,,,,,3.0,,,,,2.0,2.0,3.0,6.0,,,,3.0,4.0,,,,,2.0,2.0,,,,,1.0,,,,,9.0,2.0,6.0,,,,2.0,,,,,,,,,,,,,,4.0,,1.0,2.0,,,2.0,1.0,2.0,2.0,2.0,,,,,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,6.0,1.0,,1.0,,1.0,,,,,1.0,6.0,2.0,1.0,4.0,4.0,4.0,,,
arh,Arabic (Hijazi),Eurasia,26.0,38.0,acw,Afro-Asiatic,,Semitic,cdd0000,acw,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ari,Aribwatsa,Papunesia,-6.71666666667,147.0,laz,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,laz,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
arj,Arabic (Kuwaiti),Eurasia,29.5,47.5,afb,Afro-Asiatic,,Semitic,cdd0000,afb,KW,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,6.0,3.0,,1.0,,1.0,,,,,1.0,,2.0,1.0,4.0,4.0,4.0,,,
ark,Araki,Papunesia,-15.6666666667,166.916666667,akr,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,akr,VU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arl,Arabic (Lebanese),Eurasia,34.0,36.0,apc,Afro-Asiatic,,Semitic,cdd0000,apc,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm,Armenian (Eastern),Eurasia,40.0,45.0,hye,Indo-European,,Armenian,d0000dd,hye,AM,2.0,2.0,2.0,4.0,1.0,,,1.0,3.0,4.0,8.0,5.0,2.0,,2.0,2.0,5.0,3.0,1.0,,6.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,1.0,,,,7.0,,,,3.0,4.0,4.0,16.0,,,13.0,22.0,,,4.0,1.0,7.0,4.0,15.0,16.0,,,4.0,4.0,7.0,11.0,,,,,,,1.0,5.0,5.0,4.0,1.0,1.0,4.0,,,,2.0,,,,,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,5.0,4.0,3.0,1.0,3.0,,4.0,3.0,,,3.0,6.0,2.0,,1.0,2.0,5.0,3.0,3.0,1.0,2.0,6.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,,,3.0,2.0,2.0,1.0,7.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,2.0,,,,,1.0,6.0,2.0,1.0,5.0,5.0,5.0,2.0,2.0,3.0
arn,Arabic (Borno Nigerian),Africa,8.58333333333,12.4166666667,shu,Afro-Asiatic,,Semitic,cdd0000,shu,NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aro,Arosi,Papunesia,-10.25,161.333333333,aia,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,aia,SB,,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,1.0,,2.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,2.0,8.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,,2.0,2.0,,4.0,4.0,4.0,,,
arp,Arapesh (Mountain),Papunesia,-3.46666666667,143.166666667,ape,Torricelli,,Kombio-Arapesh,c0000dd,ape,PG,4.0,2.0,5.0,2.0,2.0,,1.0,2.0,3.0,4.0,3.0,2.0,2.0,,,,2.0,3.0,2.0,,1.0,,3.0,1.0,1.0,2.0,3.0,4.0,,,1.0,,,1.0,,2.0,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,15.0,,1.0,,1.0,1.0,4.0,19.0,3.0,,15.0,,,1.0,4.0,3.0,7.0,3.0,,,,,,,,,,,,,,,6.0,8.0,1.0,,1.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,2.0,5.0,2.0,5.0,1.0,1.0,3.0,3.0,5.0,2.0,3.0,2.0,,5.0,2.0,,1.0,3.0,,2.0,3.0,2.0,1.0,4.0,2.0,1.0,,,1.0,1.0,2.0,1.0,9.0,2.0,1.0,,,,,2.0,1.0,1.0,2.0,,,8.0,,,2.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,,,,1.0,1.0,4.0,5.0,1.0,1.0,2.0,,1.0,2.0,,2.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,2.0,2.0,5.0,4.0,,3.0,1.0,1.0,3.0
arq,Arabic (Iraqi),Eurasia,33.0,44.0,acm,Afro-Asiatic,,Semitic,cdd0000,acm,IQ,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,4.0,4.0,20.0,,,5.0,,,,4.0,2.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,6.0,,,,3.0,1.0,,,,,,,,,,,,,,,,7.0,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,,1.0,,1.0,,1.0,,,,,3.0,,2.0,1.0,4.0,4.0,4.0,,,
arr,Arrernte,Australia,-24.0,134.0,,Pama-Nyungan,,Central Pama-Nyungan,tcccccc,aer are,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ars,Arabic (San'ani),Eurasia,16.0,44.0,ayn,Afro-Asiatic,,Semitic,cdd0000,ayn,YE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arv,Arabic (Negev),Eurasia,30.5,34.75,ajp,Afro-Asiatic,,Semitic,cdd0000,ajp,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arw,Armenian (Western),Eurasia,38.5,43.5,hye,Indo-European,,Armenian,d0000dd,hye,TR,,2.0,,,,,,,,,,,,,,,3.0,,,,6.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,7.0,,,,3.0,4.0,4.0,16.0,,,,,,,,,,,15.0,22.0,,,,,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,,3.0,1.0,,,,,,,,,,,,,,,,1.0,,6.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,3.0,,,,,1.0,,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,6.0,2.0,1.0,1.0,2.0,1.0,,,
arx,'Are'are,Papunesia,-9.25,161.166666667,alu,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,alu,SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arz,Armenian (Iranian),Eurasia,32.6666666667,51.6666666667,hye,Indo-European,,Armenian,d0000dd,hye,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash,Adyghe (Shapsugh),Eurasia,45.0,38.75,ady,Northwest Caucasian,,Northwest Caucasian,t0000dd,ady,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asl,American Sign Language,North America,39.0,-78.0,ase,other,,Sign Languages,t99ffff,ase,CA US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asm,Asmat,Papunesia,-5.5,138.5,tml,Trans-New Guinea,,Asmat-Kamoro,d990099,tml,ID,2.0,2.0,5.0,4.0,3.0,,2.0,2.0,3.0,4.0,2.0,4.0,2.0,,,2.0,2.0,3.0,2.0,,1.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,2.0,,,,,,,,1.0,1.0,3.0,2.0,,,1.0,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,7.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,4.0,5.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,7.0,3.0,2.0,,3.0,,1.0,3.0,4.0,,4.0,6.0,1.0,,1.0,2.0,1.0,1.0,1.0,9.0,,,,,,4.0,1.0,1.0,2.0,1.0,,,,1.0,,2.0,2.0,1.0,3.0,2.0,1.0,4.0,,4.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,,1.0,1.0,,5.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,2.0,2.0,2.0,2.0,,1.0,2.0,1.0,,3.0
aso,Altai (Southern),Eurasia,51.0,87.0,alt,Altaic,,Turkic,d0000dd,alt,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
ass,Assamese,Eurasia,26.0,93.0,asm,Indo-European,,Indic,cff6600,asm,IN,,2.0,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,2.0,4.0,4.0,20.0,,,,,,,,,,,5.0,,,,4.0,4.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,2.0,3.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,3.0,,,,,,,,,,6.0,2.0,,,,1.0,,,
ast,Asturian,Eurasia,43.25,-6.0,ast,Indo-European,,Romance,cffcc00,ast,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asu,Asuriní,South America,-3.5,-49.5,asu,Tupian,,Tupi-Guaraní,dffff00,asu,BR,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,4.0,,,2.0,2.0,4.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,
asy,Arabic (Syrian),Eurasia,34.0,38.0,apc,Afro-Asiatic,,Semitic,cdd0000,apc,SY,,2.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,16.0,3.0,,13.0,10.0,,,4.0,1.0,7.0,4.0,,,,,,,,,14.0,,1.0,6.0,4.0,,1.0,4.0,4.0,1.0,,,,,,,,,,,,3.0,1.0,,,,2.0,2.0,3.0,6.0,,,,3.0,4.0,,,,,,,,,,,,,,,,7.0,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,7.0,3.0,3.0,2.0,,2.0,2.0,2.0,6.0,3.0,,1.0,,1.0,,,,,3.0,2.0,1.0,1.0,4.0,4.0,4.0,,,
ata,Atayal,Papunesia,24.5,121.333333333,tay,Austronesian,,Atayalic,c66ff33,tay,TW,3.0,3.0,2.0,4.0,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,1.0,,,,1.0,4.0,4.0,21.0,3.0,,,,,,,,,,,,,,,,,,6.0,,1.0,6.0,4.0,,,,,,1.0,4.0,3.0,,,,,,,,,1.0,,,,2.0,,,,,,,,1.0,4.0,,,3.0,,,,,6.0,,,,2.0,,3.0,,9.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,4.0,2.0,,,,,,,,,,,,1.0,,,,2.0,2.0,,2.0,2.0,3.0,2.0,1.0,2.0,,,,,,,,,2.0,2.0,1.0,4.0,,5.0,,,
