ISO,index,Macroarea,Latitude,Longitude,Status_X_L,countryISO,num_speakers,country_population,Country_coord,cant_paises
too,2292,North America,20.4166666667,-97.8333333333,0,MEX,,124777324.0,Point(-102.0 23.0),1
woa,2293,Australia,-13.0,130.333333333,0,AUS,,24511800.0,Point(137.0 -28.0),1
tzh,2294,North America,16.4166666667,-92.5,0,,,16187608.0,Point(-99.630833333 19.354166666),1
tzh,2295,North America,16.8333333333,-92.25,0,,,16187608.0,Point(-99.630833333 19.354166666),1
tzh,2296,North America,16.6666666667,-92.3333333333,0,,,16187608.0,Point(-99.630833333 19.354166666),1
tzo,2297,North America,16.5,-92.6666666667,0,MEX,350000.0,124777324.0,Point(-102.0 23.0),1
tzj,2298,North America,14.6666666667,-91.3333333333,0,GTM,,17263239.0,Point(-90.25 15.5),1
uby,2299,Eurasia,43.6666666667,39.6666666667,1,TUR,,"[83614362.0, 125640021.0, 178378800.0, 181537800.0]","['Point(36.0 39.0)', 'Point(70.1167 58.65)']",1
ude,2300,Eurasia,47.6666666667,136.25,0,RUS,103.0,146804372.0,Point(94.25 66.416666666),1
udi,2301,Eurasia,41.0,48.0,0,"['RUS', 'AZE', 'GEO']",8000.0,"[146804372.0, 10127874.0, 3717100.0]","['Point(94.25 66.416666666)', 'Point(47.7 40.3)', 'Point(43.733330555 42.016669444)']",3
udm,2302,Eurasia,57.5,52.5,0,RUS,340530.0,146804372.0,Point(94.25 66.416666666),1
urf,2303,Australia,-11.9166666667,142.416666667,1,AUS,,24511800.0,Point(137.0 -28.0),1
ukr,2304,Eurasia,49.0,33.0,0,"['CAN', 'HUN', 'USA', 'POL', 'RUS', 'BLR', 'UKR', 'CZE', 'SVK', 'ROU', 'KAZ', 'SRB']",34710100.0,"[37894799.0, 9769526.0, 331449281.0, 38382576.0, 146804372.0, 9349645.0, 42558328.0, 10701777.0, 5397036.0, 19586539.0, 18276500.0, 7022268.0]","['Point(-109.0 56.0)', 'Point(19.0 47.0)', 'Point(-98.5795 39.828175)', 'Point(19.0 52.0)', 'Point(94.25 66.416666666)', 'Point(28.046666666 53.528333333)', 'Point(32.0 49.0)', 'Point(16.0 50.0)', 'Point(20.0 49.0)', 'Point(25.0 46.0)', 'Point(68.0 48.0)', 'Point(20.933333333 43.95)']",12
kuu,2305,North America,63.0,-157.0,0,USA,,331449281.0,Point(-98.5795 39.828175),1
ulc,2306,Eurasia,52.25,140.333333333,0,RUS,154.0,146804372.0,Point(94.25 66.416666666),1
udl,2307,Africa,10.95,14.1166666667,0,CMR,,24053727.0,Point(12.0 7.0),1
uli,2308,Papunesia,9.91666666667,139.583333333,0,FSM,,105544.0,Point(158.183333333 6.916666666),1
ppk,2309,Papunesia,-1.83333333333,120.0,0,IDN,,270625568.0,Point(118.0 -2.0),1
