,WALS_ID,ISO,Name,Macroarea,Country_ID,Latitude,Longitude,Family,Genus,Lenguaje de Señas,Status
1005,kap,kcl,Kela (Apoze),Papunesia,PG,-7.41666666667,147.083333333,Austronesian,Oceanic,0,L
1006,kaq,zku,Kaurna,Australia,AU,-34.25,138.5,Pama-Nyungan,Central Pama-Nyungan,0,L
1007,kar,kah,Kara (in Central African Republic),Africa,CF,10.0,23.0,Central Sudanic,Bongo-Bagirmi,0,L
1008,kas,kas,Kashmiri,Eurasia,PK IN,34.0,76.0,Indo-European,Indic,0,L
1009,kat,kmg,Kâte,Papunesia,PG,-6.5,147.75,Trans-New Guinea,Finisterre-Huon,0,L
1010,kau,pss,Kaulong,Papunesia,PG,-6.16666666667,149.666666667,Austronesian,Oceanic,0,L
1011,kaw,kgk,Kaiwá,South America,PY BR,-23.0,-55.0,Tupian,Tupi-Guaraní,0,L
1012,kay,gyd,Kayardild,Australia,AU,-17.05,139.5,Tangkic,Tangkic,0,L
1013,kaz,kaz,Kazakh,Eurasia,KZ,50.0,70.0,Altaic,Turkic,0,L
1014,kba,kam,Kamba,Africa,KE,-1.5,38.0,Niger-Congo,Bantoid,0,L
1015,kbi,nkf,Kabui,Eurasia,IN,24.8333333333,94.0,Sino-Tibetan,Kuki-Chin,0,L
1016,kbl,kab,Kabyle,Africa,DZ,36.5,5.0,Afro-Asiatic,Berber,0,L
1017,kbo,kbx,Kambot,Papunesia,PG,-4.25,144.133333333,Lower Sepik-Ramu,Botin,0,L
1018,kbr,kys,Kayan (Baram),Papunesia,MY,3.5,114.5,Austronesian,North Borneo,0,L
1019,kbt,xkp,Kabatei,Eurasia,IR,36.75,49.4166666667,Indo-European,Iranian,0,L
1020,kbu,kbl,Kanembu,Africa,NG TD NE,14.0,15.0,Saharan,Western Saharan,0,L
1021,kbw,bwe,Karen (Bwe),Eurasia,MM,19.5,97.0,Sino-Tibetan,Karen,0,L
1022,kby,kbp,Kabiyé,Africa,TG,9.66666666667,1.16666666667,Niger-Congo,Southern-Central Gur,0,L
1023,kch,khq,Koyra Chiini,Africa,ML,17.0,-3.0,Songhay,Songhay,0,L
1024,kda,kfc,Konda,Eurasia,IN,19.5,83.0,Dravidian,South-Central Dravidian,0,L
1025,kdg,knt,Karipuna (Panoan),South America,BR,-10.0,-65.0,Panoan,Panoan,0,L
1026,kdw,kbc,Kadiwéu,South America,BR,-20.0,-57.0,Guaicuruan,Kadiwéu,0,L
1027,kdz,kzj,Kadazan,Papunesia,MY,5.91666666667,117.166666667,Austronesian,North Borneo,0,
