language,languageLabel,statusLabel,native,ISO,countryLabel,walsCode,IDH,coordinates,Population
http://www.wikidata.org/entity/Q3436645,Aghu,6b Threatened,3000,ahh,Indonesia,ahu,0.694,Point(118.0 -2.0),270625568
http://www.wikidata.org/entity/Q36746,Rapa Nui,6b Threatened,5000,rap,Chile,rap,0.832,Point(-71.0 -33.0),18054726
http://www.wikidata.org/entity/Q2669169,Kristang,6b Threatened,2200,mcm,Singapore,mlc,0.932,Point(103.8 1.3),5888926
http://www.wikidata.org/entity/Q1639998,Warlpiri,5 Developing,2507,wbp,Australia,wrl,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q2982063,Pitjantjatjara,4 Educational,4000,pjt,Australia,pit,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q2748259,Pilagá,6b Threatened,4000,plg,Argentina,pga,0.825,Point(-64.0 -34.0),44938712
http://www.wikidata.org/entity/Q3027906,Mocoví,6b Threatened,3000,moc,Argentina,mcv,0.825,Point(-64.0 -34.0),44938712
http://www.wikidata.org/entity/Q2671988,Shipibo-Conibo,5 Developing,8000,shp,Peru,shk,0.75,Point(-76.0 -9.4),29381884
http://www.wikidata.org/entity/Q2981620,Matsés,5 Developing,2200,mcf,Peru,myr,0.75,Point(-76.0 -9.4),29381884
http://www.wikidata.org/entity/Q3327405,Axininca,6b Threatened,4000,cpc,Peru,cax,0.75,Point(-76.0 -9.4),29381884
http://www.wikidata.org/entity/Q3342992,Nomatsiguenga,5 Developing,6500,not,Peru,nom,0.75,Point(-76.0 -9.4),29381884
http://www.wikidata.org/entity/Q33904,Nihali,6b Threatened,2000,nll,India,nah,0.64,Point(83.0 22.8),1326093247
http://www.wikidata.org/entity/Q33503,Mono,6a Vigorous,2940,mte,Solomon Islands,moa,0.546,Point(159.816666666 -9.466666666),611343
http://www.wikidata.org/entity/Q770547,Lavukaleve,6a Vigorous,1783,lvk,Solomon Islands,lav,0.546,Point(159.816666666 -9.466666666),611343
http://www.wikidata.org/entity/Q2877785,Babatana,5 Developing,7070,baa,Solomon Islands,sis,0.546,Point(159.816666666 -9.466666666),611343
http://www.wikidata.org/entity/Q3305008,Mele-Fila,5 Developing,3500,mxe,Vanuatu,mxe,0.603,Point(168.016669444 -16.633330555),276244
http://www.wikidata.org/entity/Q13203,Rotokas,5 Developing,4320,roo,Papua New Guinea,rtk,0.555,Point(147.0 -6.3),8935000
http://www.wikidata.org/entity/Q1068097,Oksapmin,5 Developing,8000,opm,Papua New Guinea,oks,0.555,Point(147.0 -6.3),8935000
http://www.wikidata.org/entity/Q2089984,Suki,5 Developing,3500,sui,Papua New Guinea,suk,0.555,Point(147.0 -6.3),8935000
http://www.wikidata.org/entity/Q3073568,Abau,5 Developing,7270,aau,Papua New Guinea,aba,0.555,Point(147.0 -6.3),8935000
http://www.wikidata.org/entity/Q33464,Kosraean,2 Provincial,8000,kos,Federated States of Micronesia,kos,0.627,Point(158.183333333 6.916666666),105544
http://www.wikidata.org/entity/Q36754,Rotuman,6b Threatened,9000,rtm,Fiji,rot,0.741,Point(178.0 -18.0),905502
http://www.wikidata.org/entity/Q2655664,Arawak,8a Moribund,2500,arw,Venezuela,ara,0.761,Point(-67.0 8.0),28515829
http://www.wikidata.org/entity/Q2655664,Arawak,8a Moribund,2500,arw,Suriname,ara,0.72,Point(-56.0 4.0),563402
http://www.wikidata.org/entity/Q2655664,Arawak,8a Moribund,2500,arw,Guyana,ara,0.654,Point(-59.316667 5.733333),777859
http://www.wikidata.org/entity/Q962392,Desano,6b Threatened,3400,des,Colombia,des,0.747,Point(-74.0 4.0),49065615
http://www.wikidata.org/entity/Q3012604,Wiwa,6a Vigorous,1850,mbp,Colombia,dam,0.747,Point(-74.0 4.0),49065615
http://www.wikidata.org/entity/Q56473,Lishán Didán,8a Moribund,4378,trg,Israel,nap,0.899,Point(35.0 31.0),9093000
http://www.wikidata.org/entity/Q36533,Teribe,5 Developing,3000,tfr,Panama,trb,0.78,Point(-80.366667 8.616667),4098587
http://www.wikidata.org/entity/Q2669169,Kristang,6b Threatened,2200,mcm,Malaysia,mlc,0.802,Point(108.0 3.0),31624264
http://www.wikidata.org/entity/Q34186,Yazgulyam,6b Threatened,4000,yah,Tajikistan,yaz,0.65,Point(71.366667 38.583333),8921343
http://www.wikidata.org/entity/Q32689,Wasi-wari,6a Vigorous,8000,prn,Afghanistan,pra,0.498,Point(66.0 34.0),36643815
http://www.wikidata.org/entity/Q13229,Taa,6b Threatened,4200,nmn,Botswana,xoo,0.717,Point(23.7 -22.2),2291661
http://www.wikidata.org/entity/Q13229,Taa,6b Threatened,4200,nmn,Namibia,xoo,0.647,Point(17.0 -23.0),2533794
http://www.wikidata.org/entity/Q35463,Ghotuo,6a Vigorous,9000,aaa,Nigeria,gho,0.532,Point(8.0 9.0),190886311
http://www.wikidata.org/entity/Q3441315,Pa'a,6a Vigorous,8000,pqa,Nigeria,paa,0.532,Point(8.0 9.0),190886311
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Canada,fre,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Canada,fre,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Belgium,fre,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Belgium,fre,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,80000000,deu,Belgium,gth,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,105000000,deu,Belgium,gth,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,80000000,deu,Belgium,ger,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,105000000,deu,Belgium,ger,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,80000000,deu,Belgium,gha,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,105000000,deu,Belgium,gha,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,80000000,deu,Belgium,gma,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,105000000,deu,Belgium,gma,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,80000000,deu,Belgium,gti,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,105000000,deu,Belgium,gti,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,80000000,deu,Belgium,gbl,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q188,German,1 National,105000000,deu,Belgium,gbl,0.89,Point(4.668055555 50.641111111),11431406
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Luxembourg,fre,0.892,Point(6.13 49.77),626108
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Luxembourg,fre,0.892,Point(6.13 49.77),626108
http://www.wikidata.org/entity/Q188,German,1 National,80000000,deu,Luxembourg,gth,0.892,Point(6.13 49.77),626108
http://www.wikidata.org/entity/Q188,German,1 National,105000000,deu,Luxembourg,gth,0.892,Point(6.13 49.77),626108
http://www.wikidata.org/entity/Q188,German,1 National,80000000,deu,Luxembourg,ger,0.892,Point(6.13 49.77),626108
http://www.wikidata.org/entity/Q188,German,1 National,105000000,deu,Luxembourg,ger,0.892,Point(6.13 49.77),626108
http://www.wikidata.org/entity/Q188,German,1 National,80000000,deu,Luxembourg,gha,0.892,Point(6.13 49.77),626108
http://www.wikidata.org/entity/Q188,German,1 National,105000000,deu,Luxembourg,gha,0.892,Point(6.13 49.77),626108
http://www.wikidata.org/entity/Q188,German,1 National,80000000,deu,Luxembourg,gma,0.892,Point(6.13 49.77),626108
http://www.wikidata.org/entity/Q188,German,1 National,105000000,deu,Luxembourg,gma,0.892,Point(6.13 49.77),626108
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Italy,fre,0.873,Point(12.5 42.5),60317000
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Italy,fre,0.873,Point(12.5 42.5),60317000
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Switzerland,fre,0.93,Point(8.231973 46.798562),8466017
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Switzerland,fre,0.93,Point(8.231973 46.798562),8466017
