ISO_codes,Name_x,status,cantidad de hablantes,country,IDH,coordinates,Population,Unnamed: 0,Name_y,Macroarea,Latitude,Longitude,ISO639P3code,Family,Subfamily,Genus,GenusIcon,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
aht,Ahtna,1,80,United States of America,0.92,Point(-98.5795 39.828175),331449281,aht,Ahtna,North America,62.0,-145.0,aht,Na-Dene,,Athapaskan,c99ffff,US,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
ing,Deg Xinag,1,40,United States of America,0.92,Point(-98.5795 39.828175),331449281,dgx,Degexit'an,North America,62.0,-160.0,ing,Na-Dene,,Athapaskan,c99ffff,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taa,Lower Tanana,1,15,United States of America,0.92,Point(-98.5795 39.828175),331449281,tnl,Tanana (Lower),North America,65.0,-150.0,taa,Na-Dene,,Athapaskan,c99ffff,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
was,Washo,1,20,United States of America,0.92,Point(-98.5795 39.828175),331449281,was,Washo,North America,39.25,-120.0,was,,,,sff4400,US,6.0,2.0,5.0,2.0,3.0,,,2.0,,,,,,,,,1.0,1.0,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,6.0,,,,3.0,9.0,,3.0,1.0,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,1.0
kyh,Karuk,1,12,United States of America,0.92,Point(-98.5795 39.828175),331449281,krk,Karok,North America,41.6666666667,-123.0,kyh,,,,dffffff,US,5.0,2.0,5.0,2.0,5.0,,2.0,1.0,3.0,4.0,3.0,1.0,1.0,,,2.0,6.0,2.0,3.0,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,3.0,,2.0,,,,14.0,2.0,,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,2.0,,1.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,4.0,,1.0,,3.0,,3.0,3.0,,,,6.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,6.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,2.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,,3.0,,2.0,4.0,,,1.0,,7.0,,1.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,5.0,5.0,5.0,1.0,1.0,3.0
akz,Alabama,1,100,United States of America,0.92,Point(-98.5795 39.828175),331449281,abm,Alabama,North America,32.3333333333,-87.4166666667,akz,Muskogean,,Muskogean,c990099,US,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,2.0,,2.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0
kju,Kashaya,1,45,United States of America,0.92,Point(-98.5795 39.828175),331449281,ksh,Kashaya,North America,38.6666666667,-123.333333333,kju,Hokan,,Pomoan,c9999ff,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
nez,Nez Perce,1,100,United States of America,0.92,Point(-98.5795 39.828175),331449281,nez,Nez Perce,North America,46.0,-116.0,nez,Penutian,,Sahaptian,caa0000,US,6.0,2.0,5.0,2.0,2.0,,,1.0,2.0,1.0,3.0,2.0,2.0,,,2.0,2.0,1.0,7.0,,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,3.0,1.0,,,,1.0,4.0,4.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,6.0,,1.0,1.0,4.0,,,,,,,,,4.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,,,4.0,,,,3.0,,4.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,8.0,1.0,2.0,1.0,,6.0,,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,2.0,,,,,2.0,4.0,1.0,,1.0,2.0,1.0,3.0,3.0,1.0,1.0,,,6.0,,7.0,,3.0,3.0,6.0,,1.0,1.0,1.0,1.0,4.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0
kdr,Karaim,1,80,Poland,0.843,Point(19.0 52.0),38382576,krm,Karaim,Eurasia,54.6666666667,24.9166666667,kdr,Altaic,,Turkic,d0000dd,UA LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
kdr,Karaim,1,80,Lithuania,0.8390000000000001,Point(24.0 55.2),2790842,krm,Karaim,Eurasia,54.6666666667,24.9166666667,kdr,Altaic,,Turkic,d0000dd,UA LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
mnc,Manchu,1,20,People's Republic of China,0.752,Point(103.451944444 35.844722222),1409517397,mnc,Manchu,Eurasia,49.5,127.5,mnc,Altaic,,Tungusic,d66ff33,CN,,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,2.0,,,,2.0,,,,2.0,,,1.0,,,,,3.0,,,,,,,,,,,2.0,,1.0,2.0,5.0,4.0,,,,,,,2.0,,,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,2.0,,,,,,,,1.0,6.0,,2.0,1.0,,1.0,,,
mnc,Manchu,1,20,People's Republic of China,0.752,Point(103.451944444 35.844722222),1443497378,mnc,Manchu,Eurasia,49.5,127.5,mnc,Altaic,,Tungusic,d66ff33,CN,,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,2.0,,,,2.0,,,,2.0,,,1.0,,,,,3.0,,,,,,,,,,,2.0,,1.0,2.0,5.0,4.0,,,,,,,2.0,,,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,2.0,,,,,,,,1.0,6.0,,2.0,1.0,,1.0,,,
ude,Udege,1,103,Russia,0.816,Point(94.25 66.416666666),146804372,udh,Udihe,Eurasia,47.6666666667,136.25,ude,Altaic,,Tungusic,d66ff33,RU,2.0,,2.0,3.0,1.0,1.0,,1.0,,,,,,,,,3.0,,,1.0,6.0,,,,,,,,,4.0,,3.0,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,3.0,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,2.0,3.0,,6.0,,1.0,,4.0,7.0,,2.0,,,,7.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,7.0,3.0,,2.0,,,,,6.0,2.0,,1.0,5.0,1.0,,,1.0
ynk,Naukan Yupik,1,50,Russia,0.816,Point(94.25 66.416666666),146804372,yna,Yupik (Naukan),Eurasia,66.0,-172.0,ynk,Eskimo-Aleut,,Eskimo,t990099,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alr,Alyutor,1,40,Russia,0.816,Point(94.25 66.416666666),146804372,alu,Alutor,Eurasia,61.0,165.0,alr,Chukotko-Kamchatkan,,Northern Chukotko-Kamchatkan,s009900,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
vot,Votic,1,62,Russia,0.816,Point(94.25 66.416666666),146804372,vot,Votic,Eurasia,59.5,30.0,vot,Uralic,Finno-Ugric,Finnic,f9999ff,RU,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,,2.0,2.0,3.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,5.0,,,,,
clw,Chulym,1,44,Russia,0.816,Point(94.25 66.416666666),146804372,cly,Chulym,Eurasia,54.3333333333,89.6666666667,clw,Altaic,,Turkic,d0000dd,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
izh,Ingrian,1,120,Russia,0.816,Point(94.25 66.416666666),146804372,izh,Izhor,Eurasia,59.0,29.0,izh,Uralic,Finno-Ugric,Finnic,f9999ff,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
itl,Itelmen,1,82,Russia,0.816,Point(94.25 66.416666666),146804372,ite,Itelmen,Eurasia,57.0,157.5,itl,Chukotko-Kamchatkan,,Southern Chukotko-Kamchatkan,s66ff33,RU,,2.0,,,,,2.0,,,,,,,,,,6.0,,,,1.0,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,14.0,2.0,,,1.0,2.0,4.0,18.0,,,,,,,,,,,16.0,,15.0,,,,,6.0,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,2.0,,,,2.0,1.0,1.0,1.0,2.0,,6.0,,5.0,5.0,,,4.0,,,,,,,,,,,3.0,,1.0,2.0,7.0,,,,,,,,1.0,,,,,,,,,,2.0,4.0,,,,,,,,1.0,1.0,,,2.0,,1.0,,1.0,1.0,6.0,5.0,3.0,3.0,1.0,1.0,4.0,,,,,,,,1.0,,2.0,1.0,,,5.0,,,1.0
neg,Negidal,1,74,Russia,0.816,Point(94.25 66.416666666),146804372,neg,Negidal,Eurasia,53.0,139.0,neg,Altaic,,Tungusic,d66ff33,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
oaa,Orok,1,47,Russia,0.816,Point(94.25 66.416666666),146804372,ork,Orok,Eurasia,49.5,143.5,oaa,Altaic,,Tungusic,d66ff33,RU,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,4.0,4.0,20.0,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,2.0,,7.0,,,,,,,,,,,,,,,,,,,1.0,,,7.0,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,1.0,,2.0,,,1.0
kim,Tofa,1,93,Russia,0.816,Point(94.25 66.416666666),146804372,tof,Tofa,Eurasia,53.75,98.0,kim,Altaic,,Turkic,d0000dd,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
ykg,Tundra Yukaghir,1,40,Russia,0.816,Point(94.25 66.416666666),146804372,ytu,Yukaghir (Tundra),Eurasia,69.0,155.0,ykg,Yukaghir,,Yukaghir,tff6600,RU,,,,,,1.0,2.0,,,,,,,,,,1.0,,,1.0,,,,,4.0,,,,,4.0,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,3.0,,,,2.0,4.0,4.0,20.0,,,,,,,,,,,5.0,,,,4.0,4.0,2.0,11.0,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,3.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,2.0,4.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,1.0,,2.0,,1.0,,1.0,,,
