ID,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family,Subfamily,ISO_codes,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A,Lexifier,Num_Speakers,Abandono,Pidgin/Creole
ati,Atikamekw,North America,48.0,-74.0,atj,Algic,,atj,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
atk,Atakapa,North America,30.0,-93.5,aqp,,,aqp,US,6.0,,5.0,4.0,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,1.0,5.0,1.0,4.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,0.0
atm,Atacameño,South America,-23.0,-69.0,kuz,Kunza,,kuz,CL BO AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0
atq,Alutiiq,North America,57.0,-157.0,ems,Eskimo-Aleut,,ems,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
ats,Atsugewi,North America,40.75,-121.0,atw,Hokan,,atw,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,0.0
atu,Arabic (Tunisian),Africa,36.75,10.25,aeb,Afro-Asiatic,,aeb,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,,,,,,,,,,,,4.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
au,Au,Papunesia,-3.58333333333,142.083333333,avt,Torricelli,,avt,PG,2.0,,5.0,2.0,2.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,1.0,4.0,16.0,,,13.0,4.0,,,4.0,1.0,7.0,1.0,,,,,,,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,5.0,,,,,,,,2.0,,,,3.0,,,,9.0,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,2.0,,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,,,,,,,,,2.0,,2.0,1.0,4.0,,4.0,,,,,,,0.0
aul,Aulua,Papunesia,-16.3333333333,167.666666667,aul,Austronesian,Eastern Malayo-Polynesian,aul,VU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
aus,Auslan,Australia,-30.0,145.0,asf,other,,asf,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
auy,Auyana,Papunesia,-6.5,145.75,auy,Trans-New Guinea,,auy,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
ava,Avar,Eurasia,42.5,46.5,ava,Nakh-Daghestanian,Daghestanian,ava,AZ RU,,,,,,,,,,,,,,,,,3.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,1.0,1.0,7.0,5.0,1.0,4.0,5.0,,,,,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,5.0,,,,,,,,,,,4.0,,1.0,2.0,4.0,,1.0,,,,,,1.0,6.0,2.0,1.0,1.0,,,,,,2.0,4.0,1.0,2.0,4.0,1.0,,,,,,,,2.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,1.0,3.0,2.0,,1.0,,1.0,,,,,,,0.0
avk,Avikam,Africa,5.16666666667,-5.5,avi,Niger-Congo,,avi,CI,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,0.0
avo,Avokaya,Africa,4.66666666667,30.0,avu,Central Sudanic,,avu,CD SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,2.0,,5.0,,,,,,,,,,,,,7.0,1.0,1.0,3.0,6.0,1.0,3.0,,2.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,,,,,,,0.0
avt,Avatime,Africa,6.83333333333,0.416666666667,avn,Niger-Congo,,avn,GH,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
awa,Awa,Papunesia,-6.66666666667,145.75,awb,Trans-New Guinea,,awb,PG,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,0.0
awd,Awadhi,Eurasia,27.5,81.5,awa,Indo-European,,awa,IN NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
awe,Arrernte (Western),Australia,-24.0,132.5,are,Pama-Nyungan,,are,AU,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,,1.0,,1.0,,,,,2.0,,,,,5.0,,,,,,,,0.0
awi,Aekyom,Papunesia,-5.75,141.416666667,awi,Awin-Pare,,awi,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,0.0
awk,Akwa,Africa,10.0833333333,6.33333333333,png,Niger-Congo,Benue-Congo,png,NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
awn,Awngi,Africa,10.8333333333,36.6666666667,awn,Afro-Asiatic,Cushitic,awn,ET,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,2.0,1.0,1.0,3.0,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,0.0
awp,Awa Pit,South America,1.5,-78.25,kwi,Barbacoan,,kwi,EC CO,5.0,2.0,4.0,2.0,1.0,1.0,,2.0,3.0,4.0,8.0,5.0,2.0,,,2.0,6.0,3.0,5.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,,6.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,14.0,10.0,,,1.0,3.0,4.0,18.0,3.0,,,,,,,,,,16.0,,8.0,,4.0,4.0,5.0,10.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,5.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,4.0,,5.0,5.0,3.0,,3.0,2.0,,,6.0,6.0,1.0,1.0,2.0,2.0,8.0,3.0,4.0,6.0,,1.0,,,,4.0,2.0,1.0,1.0,1.0,,2.0,8.0,,,1.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,1.0,2.0,2.0,5.0,1.0,,1.0,2.0,2.0,3.0,,,,0.0
awt,Awtuw,Papunesia,-3.58333333333,142.0,kmn,Sepik,,kmn,PG,1.0,5.0,1.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,1.0,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,3.0,,,,2.0,4.0,4.0,20.0,,,,,,,,,,,5.0,,,,4.0,4.0,2.0,11.0,,,,,,,6.0,8.0,1.0,1.0,,,,,,,,2.0,2.0,2.0,2.0,3.0,,,,,,,,2.0,,,1.0,1.0,2.0,,,,,,,,3.0,,,,1.0,,,,6.0,1.0,1.0,,1.0,,4.0,2.0,1.0,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,,2.0,1.0,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,0.0
awy,Awyi,Papunesia,-2.91666666667,140.583333333,auw,Border,,auw,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,0.0
axv,Akhvakh,Eurasia,42.3333333333,46.3333333333,akv,Nakh-Daghestanian,Daghestanian,akv,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0.0
ayi,Anyi,Africa,7.0,-3.5,any,Niger-Congo,,any,CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,0.0
aym,Aymara (Central),South America,-17.0,-69.0,ayc,Aymaran,,ayc,CL BO PE,5.0,2.0,5.0,4.0,5.0,,,1.0,,,,,,,,2.0,2.0,2.0,2.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,2.0,2.0,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,4.0,4.0,16.0,,,,,,,,,,,15.0,2.0,,,4.0,1.0,1.0,11.0,,,,,,,6.0,8.0,1.0,,1.0,1.0,4.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,2.0,,6.0,,,2.0,4.0,,5.0,4.0,,,,6.0,1.0,,,3.0,6.0,1.0,2.0,6.0,1.0,3.0,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,2.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,2.0,2.0,,1.0,,1.0,3.0,3.0,3.0,,,,0.0
ayn,Aynu,Eurasia,39.5,76.0,aib,Altaic,,aib,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
ayo,Ayomán,,11.0,-69.0,,Jirajaran,,,VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,0.0
ayr,Ayoreo,South America,-20.25,-59.25,ayo,Zamucoan,,ayo,PY,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,2.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
ayw,Ayiwo,Papunesia,-10.3333333333,166.25,nfl,Austronesian,Eastern Malayo-Polynesian,nfl,SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,1.0,4.0,,4.0,,,,,,,0.0
aze,Azerbaijani,Eurasia,40.5,48.5,,Altaic,,azb azj,AZ IR,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,2.0,,,,3.0,,,,2.0,,,,,,,,2.0,,,,,,,1.0,,,,4.0,,1.0,,5.0,,2.0,,2.0,,,,2.0,,,,,,1.0,1.0,1.0,3.0,2.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,2.0,,,,,,,,,2.0,2.0,,,,1.0,,,3.0,,,,0.0
azi,Azari (Iranian),Eurasia,37.5,47.0,azb,Altaic,,azb,IR IQ,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,4.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,7.0,2.0,2.0,,,,,,6.0,2.0,,,5.0,,,,,,,,0.0
baa,Barai,Papunesia,-9.33333333333,148.083333333,,Trans-New Guinea,,bbb nvm,PG,2.0,,5.0,2.0,3.0,,,2.0,,,,,,,,,2.0,,,,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,6.0,,,,2.0,,,,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,,,4.0,1.0,2.0,2.0,,,,,,,0.0
bab,Babungo,Africa,6.11666666667,10.4166666667,bav,Niger-Congo,Benue-Congo,bav,CM,1.0,1.0,1.0,1.0,1.0,4.0,,2.0,,,,,,,1.0,2.0,6.0,,,1.0,1.0,5.0,3.0,2.0,,1.0,,3.0,3.0,1.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,14.0,1.0,,,1.0,1.0,4.0,18.0,,,14.0,,1.0,,4.0,5.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,,6.0,,,1.0,4.0,,,,,,1.0,5.0,2.0,1.0,2.0,,2.0,,,,9.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,1.0,4.0,,,2.0,3.0,3.0,,,,,,,2.0,,1.0,2.0,,2.0,,2.0,2.0,2.0,,1.0,,1.0,,,,,1.0,2.0,,,4.0,4.0,4.0,,,,,,,0.0
bac,Bachamal,Australia,-13.1666666667,130.166666667,wdj,Anson Bay,Daly,wdj,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,7.0,,3.0,3.0,6.0,1.0,,3.0,,,,,,,,,,,,,1.0,,5.0,5.0,5.0,,,,,,,0.0
bad,Bade,Africa,12.8333333333,10.5,bde,Afro-Asiatic,Chadic,bde,NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
bae,Baré,South America,1.0,-67.0,bae,Arawakan,,bae,BR VR,,2.0,,,,1.0,4.0,,,,,,,,,,,2.0,1.0,1.0,6.0,,,,,,1.0,,,2.0,,,,,2.0,,2.0,,6.0,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,6.0,8.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,2.0,4.0,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,6.0,2.0,,,,,,,,2.0,,4.0,2.0,,,,,,,,,,,,2.0,,3.0,2.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,6.0,1.0,,3.0,,4.0,,,,,,,0.0
baf,Bafut,Africa,6.25,9.91666666667,bfd,Niger-Congo,Benue-Congo,bfd,CM,,,,,,,,,,,,,,,,,6.0,3.0,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,7.0,,,1.0,4.0,4.0,18.0,,9.0,,,,,,,,,16.0,,2.0,,3.0,3.0,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,,2.0,,,,,,,,,,,,6.0,,,4.0,,4.0,,,,,,,0.0
bag,Bagirmi,Africa,11.6666666667,16.0,bmi,Central Sudanic,,bmi,TD,2.0,,5.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,8.0,5.0,1.0,,1.0,1.0,2.0,3.0,3.0,1.0,1.0,,1.0,1.0,1.0,2.0,,4.0,3.0,2.0,,,,,,2.0,,,1.0,,,,,1.0,2.0,1.0,1.0,,,3.0,,,,2.0,,,,4.0,1.0,4.0,4.0,6.0,,4.0,,,,4.0,8.0,7.0,1.0,,,,,,,,,,,,,,,7.0,8.0,1.0,,1.0,1.0,4.0,1.0,5.0,2.0,4.0,1.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,6.0,6.0,,1.0,4.0,3.0,,3.0,1.0,,,1.0,6.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,9.0,2.0,,,,,2.0,2.0,1.0,1.0,2.0,,,,,2.0,1.0,4.0,2.0,4.0,4.0,1.0,5.0,1.0,4.0,2.0,2.0,,,,,4.0,5.0,3.0,1.0,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,,,,,,2.0,2.0,1.0,4.0,4.0,4.0,1.0,,1.0,,,,0.0
bah,Xiriana,,2.66666666666667,-62.5,xir,Arawakan,,xir,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
bai,Bai,Eurasia,26.0,100.0,bca,Sino-Tibetan,Tibeto-Burman,bca,CN,,,,,,1.0,,,,,,,,,,,4.0,,,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,1.0,,,,3.0,,,,7.0,,,,,,,,1.0,,,,,,,,,,,3.0,,9.0,,,,,,4.0,,,,1.0,,,,,,,,,,5.0,1.0,,,,,,,,,,,,1.0,,2.0,,1.0,2.0,6.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,2.0,2.0,,5.0,3.0,3.0,,,,,,,0.0
