languageLabel,ISO,countryLabel,countryISO,Ethnologe_statusLabel,number_of_speaker,coordinates,HDI,population,country_coordinates
Abui,abz,Indonesia,IDN,6a Vigorous,,Point(124.666666667 -8.25),0.694,270625568,Point(118.0 -2.0)
Achawa,aca,Colombia,COL,6b Threatened,,Point(-72.25 4.416666666),0.747,49065615,Point(-74.0 4.0)
Áncá,acb,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Kyode,acd,Ghana,GHA,5 Developing,,,0.592,26908262,Point(-0.5 8.0)
Acehnese,ace,Indonesia,IDN,6b Threatened,3500032,Point(95.5 5.5),0.694,270625568,Point(118.0 -2.0)
Saint Lucian Creole French,acf,Saint Lucia,LCA,5 Developing,,Point(-61.166666666 15.0),0.747,178844,Point(-61.0 13.883333)
Saint Lucian Creole French,acf,Grenada,GRD,5 Developing,,Point(-61.166666666 15.0),0.772,107825,Point(-61.666667 12.116667)
Saint Lucian Creole French,acf,Dominica,DMA,5 Developing,,Point(-61.166666666 15.0),0.715,73925,Point(-61.333333 15.416667)
Acholi,ach,South Sudan,SSD,5 Developing,1200000,Point(32.666666666 3.0),0.388,12575714,Point(30.0 7.0)
Acholi,ach,Uganda,UGA,5 Developing,1200000,Point(32.666666666 3.0),0.516,42862958,Point(32.39 1.28)
Aka-Cari,aci,India,IND,10 Extinct,,Point(93.0 13.5),0.64,1326093247,Point(83.0 22.8)
Aka-Kora,ack,India,IND,10 Extinct,0,,0.64,1326093247,Point(83.0 22.8)
Akar-Bale,acl,India,IND,10 Extinct,,,0.64,1326093247,Point(83.0 22.8)
Mesopotamian Arabic,acm,Iran,IRN,3 Wider Communication,,Point(44.0 33.0),0.798,79966230,Point(53.0 32.0)
Mesopotamian Arabic,acm,Iraq,IRQ,3 Wider Communication,,Point(44.0 33.0),0.685,38274618,Point(43.0 33.0)
Mesopotamian Arabic,acm,Syria,SYR,3 Wider Communication,,Point(44.0 33.0),0.536,18499181,Point(38.583333 35.216667)
Achang,acn,People's Republic of China,CHN,7 Shifting,,Point(98.5 25.0),0.752,1409517397,Point(103.451944444 35.844722222)
Achang,acn,People's Republic of China,CHN,7 Shifting,,Point(98.5 25.0),0.752,1443497378,Point(103.451944444 35.844722222)
Achang,acn,Myanmar,MMR,7 Shifting,,Point(98.5 25.0),0.578,53370609,Point(96.0 22.0)
Eastern Acipa,acp,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Taʽizzi-Adeni Arabic,acq,Yemen,YEM,6a Vigorous,,,0.452,28250420,Point(48.0 15.5)
Taʽizzi-Adeni Arabic,acq,Djibouti,DJI,6a Vigorous,,,0.476,956985,Point(42.433333 11.8)
Achi,acr,Guatemala,GTM,6b Threatened,,Point(-90.5 15.166666666),0.627,17263239,Point(-90.25 15.5)
Acroá,acs,Brazil,BRA,10 Extinct,,,0.754,210147125,Point(-53.0 -14.0)
Achterhooks,act,Netherlands,NLD,5 Developing,,,0.922,17282163,Point(5.55 52.316666666)
Achterhooks,act,Netherlands,NLD,5 Developing,,,0.931,17282163,Point(5.55 52.316666666)
Achterhooks,act,Kingdom of the Netherlands,NLD,5 Developing,,,,17100715,Point(4.883333333 52.366666666)
Shiwiar,acu,Peru,PER,5 Developing,,Point(-76.0 -2.66667),0.75,29381884,Point(-76.0 -9.4)
Shiwiar,acu,Ecuador,ECU,5 Developing,,Point(-76.0 -2.66667),0.746,16624858,Point(-78.0 -1.0)
Achumawi,acv,United States of America,USA,8b Nearly Extinct,,Point(-121.0 41.5),0.92,331449281,Point(-98.5795 39.828175)
Hijazi Arabic,acw,Saudi Arabia,SAU,6a Vigorous,6031700,Point(38.0 26.0),0.853,33000000,Point(44.116667 23.716667)
Omani Arabic,acx,Oman,OMN,6a Vigorous,,,0.821,4829480,Point(57.0 21.0)
Cypriot Arabic,acy,Cyprus,CYP,7 Shifting,,Point(33.5 35.25),0.85,1141166,Point(33.0 35.0)
Acheron,acz,Sudan,SDN,5 Developing,,,0.502,40533330,Point(32.0 15.0)
Dangme,ada,Ghana,GHA,4 Educational,,,0.592,26908262,Point(-0.5 8.0)
Adabe,adb,East Timor,TLS,6a Vigorous,,,0.625,1296311,Point(125.75 -8.966667)
Dzodinka,add,Cameroon,CMR,6a Vigorous,,,0.556,24053727,Point(12.0 7.0)
Dzodinka,add,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Adele,ade,Ghana,GHA,5 Developing,,,0.592,26908262,Point(-0.5 8.0)
Adele,ade,Togo,TGO,5 Developing,,,0.503,7797694,Point(1.183333 8.25)
Dhofari Arabic,adf,Oman,OMN,6a Vigorous,,,0.821,4829480,Point(57.0 21.0)
Andegerebinha,adg,Australia,AUS,9 Dormant,,,0.939,24511800,Point(137.0 -28.0)
Adhola,adh,Uganda,UGA,5 Developing,,,0.516,42862958,Point(32.39 1.28)
Adi,adi,People's Republic of China,CHN,5 Developing,,Point(94.666666666 28.166666666),0.752,1409517397,Point(103.451944444 35.844722222)
Adi,adi,People's Republic of China,CHN,5 Developing,,Point(94.75 28.333333333),0.752,1409517397,Point(103.451944444 35.844722222)
Adi,adi,People's Republic of China,CHN,5 Developing,,Point(94.666666666 28.5),0.752,1409517397,Point(103.451944444 35.844722222)
Adi,adi,People's Republic of China,CHN,5 Developing,,Point(95.25 28.5),0.752,1409517397,Point(103.451944444 35.844722222)
Adi,adi,People's Republic of China,CHN,5 Developing,,Point(94.666666666 28.166666666),0.752,1443497378,Point(103.451944444 35.844722222)
Adi,adi,People's Republic of China,CHN,5 Developing,,Point(94.75 28.333333333),0.752,1443497378,Point(103.451944444 35.844722222)
Adi,adi,People's Republic of China,CHN,5 Developing,,Point(94.666666666 28.5),0.752,1443497378,Point(103.451944444 35.844722222)
Adi,adi,People's Republic of China,CHN,5 Developing,,Point(95.25 28.5),0.752,1443497378,Point(103.451944444 35.844722222)
Adi,adi,India,IND,5 Developing,,Point(94.666666666 28.166666666),0.64,1326093247,Point(83.0 22.8)
Adi,adi,India,IND,5 Developing,,Point(94.75 28.333333333),0.64,1326093247,Point(83.0 22.8)
Adi,adi,India,IND,5 Developing,,Point(94.666666666 28.5),0.64,1326093247,Point(83.0 22.8)
Adi,adi,India,IND,5 Developing,,Point(95.25 28.5),0.64,1326093247,Point(83.0 22.8)
Adjukru,adj,Ivory Coast,CIV,5 Developing,,Point(-4.583333333 5.416666666),0.492,24294750,Point(-6.0 8.0)
Gallong,adl,India,IND,5 Developing,,,0.64,1326093247,Point(83.0 22.8)
Adang,adn,Indonesia,IDN,6b Threatened,3000,Point(124.0 -8.2),0.694,270625568,Point(118.0 -2.0)
Adjora,ado,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
Agotime,adq,Ghana,GHA,6b Threatened,,,0.592,26908262,Point(-0.5 8.0)
Agotime,adq,Togo,TGO,6b Threatened,,,0.503,7797694,Point(1.183333 8.25)
Adonara,adr,Indonesia,IDN,6a Vigorous,98000,,0.694,270625568,Point(118.0 -2.0)
Adamorobe Sign Language,ads,Ghana,GHA,6a Vigorous,,Point(-0.166666666 5.833333333),0.592,26908262,Point(-0.5 8.0)
Adnyamathanha,adt,Australia,AUS,8b Nearly Extinct,,Point(139.5 -30.5),0.939,24511800,Point(137.0 -28.0)
Aduge,adu,Nigeria,NGA,6b Threatened,,,0.532,190886311,Point(8.0 9.0)
Amundava,adw,Brazil,BRA,6b Threatened,,,0.754,210147125,Point(-53.0 -14.0)
Amdo Tibetan,adx,People's Republic of China,CHN,6a Vigorous,810000,Point(98.0 38.0),0.752,1409517397,Point(103.451944444 35.844722222)
Amdo Tibetan,adx,People's Republic of China,CHN,6a Vigorous,810000,Point(100.0 35.0),0.752,1409517397,Point(103.451944444 35.844722222)
Amdo Tibetan,adx,People's Republic of China,CHN,6a Vigorous,810000,Point(98.0 38.0),0.752,1443497378,Point(103.451944444 35.844722222)
Amdo Tibetan,adx,People's Republic of China,CHN,6a Vigorous,810000,Point(100.0 35.0),0.752,1443497378,Point(103.451944444 35.844722222)
Adyghe,ady,Turkey,TUR,2 Provincial,117500,Point(38.75 45.0),0.82,83614362,Point(36.0 39.0)
Adyghe,ady,Turkey,TUR,2 Provincial,575900,Point(38.75 45.0),0.82,83614362,Point(36.0 39.0)
Adyghe,ady,Turkey,TUR,2 Provincial,117500,Point(39.7 45.216666666),0.82,83614362,Point(36.0 39.0)
Adyghe,ady,Turkey,TUR,2 Provincial,575900,Point(39.7 45.216666666),0.82,83614362,Point(36.0 39.0)
Adyghe,ady,Turkey,TUR,2 Provincial,117500,Point(40.583333333 45.233333333),0.82,83614362,Point(36.0 39.0)
Adyghe,ady,Turkey,TUR,2 Provincial,575900,Point(40.583333333 45.233333333),0.82,83614362,Point(36.0 39.0)
Adyghe,ady,Russia,RUS,2 Provincial,117500,Point(38.75 45.0),0.816,146804372,Point(94.25 66.416666666)
Adyghe,ady,Russia,RUS,2 Provincial,575900,Point(38.75 45.0),0.816,146804372,Point(94.25 66.416666666)
Adyghe,ady,Russia,RUS,2 Provincial,117500,Point(39.7 45.216666666),0.816,146804372,Point(94.25 66.416666666)
Adyghe,ady,Russia,RUS,2 Provincial,575900,Point(39.7 45.216666666),0.816,146804372,Point(94.25 66.416666666)
Adyghe,ady,Russia,RUS,2 Provincial,117500,Point(40.583333333 45.233333333),0.816,146804372,Point(94.25 66.416666666)
Adyghe,ady,Russia,RUS,2 Provincial,575900,Point(40.583333333 45.233333333),0.816,146804372,Point(94.25 66.416666666)
Adyghe,ady,Jordan,JOR,2 Provincial,117500,Point(38.75 45.0),0.748,10428241,Point(36.5 31.2)
Adyghe,ady,Jordan,JOR,2 Provincial,575900,Point(38.75 45.0),0.748,10428241,Point(36.5 31.2)
Adyghe,ady,Jordan,JOR,2 Provincial,117500,Point(39.7 45.216666666),0.748,10428241,Point(36.5 31.2)
Adyghe,ady,Jordan,JOR,2 Provincial,575900,Point(39.7 45.216666666),0.748,10428241,Point(36.5 31.2)
Adyghe,ady,Jordan,JOR,2 Provincial,117500,Point(40.583333333 45.233333333),0.748,10428241,Point(36.5 31.2)
Adyghe,ady,Jordan,JOR,2 Provincial,575900,Point(40.583333333 45.233333333),0.748,10428241,Point(36.5 31.2)
Adyghe,ady,Syria,SYR,2 Provincial,117500,Point(38.75 45.0),0.536,18499181,Point(38.583333 35.216667)
Adyghe,ady,Syria,SYR,2 Provincial,575900,Point(38.75 45.0),0.536,18499181,Point(38.583333 35.216667)
Adyghe,ady,Syria,SYR,2 Provincial,117500,Point(39.7 45.216666666),0.536,18499181,Point(38.583333 35.216667)
Adyghe,ady,Syria,SYR,2 Provincial,575900,Point(39.7 45.216666666),0.536,18499181,Point(38.583333 35.216667)
Adyghe,ady,Syria,SYR,2 Provincial,117500,Point(40.583333333 45.233333333),0.536,18499181,Point(38.583333 35.216667)
Adyghe,ady,Syria,SYR,2 Provincial,575900,Point(40.583333333 45.233333333),0.536,18499181,Point(38.583333 35.216667)
Areba,aea,Australia,AUS,10 Extinct,,,0.939,24511800,Point(137.0 -28.0)
Tunisian Arabic,aeb,Tunisia,TUN,3 Wider Communication,11200000,,0.735,11565204,Point(10.0 34.0)
Saʽidi Arabic,aec,Egypt,EGY,6a Vigorous,,,0.696,94798827,Point(29.0 27.0)
Argentine Sign Language,aed,Argentina,ARG,5 Developing,,Point(-63.0 -34.0),0.825,44938712,Point(-64.0 -34.0)
Northeast Pashai,aee,Afghanistan,AFG,6a Vigorous,,,0.498,36643815,Point(66.0 34.0)
Haeke,aek,New Caledonia,NCL,8b Nearly Extinct,,,,278500,Point(165.3 -21.25)
Ambele,ael,Cameroon,CMR,6b Threatened,,,0.556,24053727,Point(12.0 7.0)
Arem,aem,Laos,LAO,8b Nearly Extinct,,,0.601,6858160,Point(104.0 18.2)
Arem,aem,Vietnam,VNM,8b Nearly Extinct,,,0.694,94660000,Point(108.0 16.0)
Armenian Sign Language,aen,Armenia,ARM,6a Vigorous,,,0.743,2930450,Point(44.95 40.383333)
Aer,aeq,Pakistan,PAK,6b Threatened,,,0.562,216565318,Point(71.0 30.0)
Eastern Arrernte,aer,Australia,AUS,4 Educational,,Point(134.0 -24.0),0.939,24511800,Point(137.0 -28.0)
Eastern Arrernte,aer,Australia,AUS,4 Educational,,Point(136.0 -24.0),0.939,24511800,Point(137.0 -28.0)
Akeu,aeu,People's Republic of China,CHN,6a Vigorous,,,0.752,1409517397,Point(103.451944444 35.844722222)
Akeu,aeu,People's Republic of China,CHN,6a Vigorous,,,0.752,1443497378,Point(103.451944444 35.844722222)
Akeu,aeu,Laos,LAO,6a Vigorous,,,0.601,6858160,Point(104.0 18.2)
Ambakich,aew,Papua New Guinea,PNG,7 Shifting,,,0.555,8935000,Point(147.0 -6.3)
Amele,aey,Papua New Guinea,PNG,6b Threatened,,Point(145.583333333 -5.25),0.555,8935000,Point(147.0 -6.3)
Aeka,aez,Papua New Guinea,PNG,5 Developing,,,0.555,8935000,Point(147.0 -6.3)
Gulf Arabic,afb,Kuwait,KWT,3 Wider Communication,,Point(49.0 26.0),0.803,4600000,Point(47.6 29.166667)
Gulf Arabic,afb,Kuwait,KWT,3 Wider Communication,,Point(47.5 29.5),0.803,4600000,Point(47.6 29.166667)
Gulf Arabic,afb,Oman,OMN,3 Wider Communication,,Point(49.0 26.0),0.821,4829480,Point(57.0 21.0)
Gulf Arabic,afb,Oman,OMN,3 Wider Communication,,Point(47.5 29.5),0.821,4829480,Point(57.0 21.0)
Gulf Arabic,afb,Qatar,QAT,3 Wider Communication,,Point(49.0 26.0),0.856,2639211,Point(51.212767 25.269535)
Gulf Arabic,afb,Qatar,QAT,3 Wider Communication,,Point(47.5 29.5),0.856,2639211,Point(51.212767 25.269535)
Gulf Arabic,afb,Saudi Arabia,SAU,3 Wider Communication,,Point(49.0 26.0),0.853,33000000,Point(44.116667 23.716667)
Gulf Arabic,afb,Saudi Arabia,SAU,3 Wider Communication,,Point(47.5 29.5),0.853,33000000,Point(44.116667 23.716667)
Gulf Arabic,afb,United Arab Emirates,ARE,3 Wider Communication,,Point(49.0 26.0),0.863,9400145,Point(54.3 24.4)
Gulf Arabic,afb,United Arab Emirates,ARE,3 Wider Communication,,Point(47.5 29.5),0.863,9400145,Point(54.3 24.4)
Gulf Arabic,afb,Iran,IRN,3 Wider Communication,,Point(49.0 26.0),0.798,79966230,Point(53.0 32.0)
Gulf Arabic,afb,Iran,IRN,3 Wider Communication,,Point(47.5 29.5),0.798,79966230,Point(53.0 32.0)
Gulf Arabic,afb,Iraq,IRQ,3 Wider Communication,,Point(49.0 26.0),0.685,38274618,Point(43.0 33.0)
Gulf Arabic,afb,Iraq,IRQ,3 Wider Communication,,Point(47.5 29.5),0.685,38274618,Point(43.0 33.0)
Andai,afd,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
Putukwam,afe,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Afghan Sign Language,afg,Afghanistan,AFG,5 Developing,,,0.498,36643815,Point(66.0 34.0)
Akrukay,afi,Papua New Guinea,PNG,7 Shifting,,Point(144.830998 -4.885733),0.555,8935000,Point(147.0 -6.3)
Nanubae,afk,Papua New Guinea,PNG,6b Threatened,,,0.555,8935000,Point(147.0 -6.3)
Defaka,afn,Nigeria,NGA,8b Nearly Extinct,,Point(7.5 4.583333333),0.532,190886311,Point(8.0 9.0)
Eloyi,afo,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Tapei,afp,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
Afrikaans,afr,South Africa,ZAF,1 National,7200000,Point(22.0 -31.0),0.699,59622350,Point(24.0 -29.0)
Afrikaans,afr,South Africa,ZAF,1 National,10300000,Point(22.0 -31.0),0.699,59622350,Point(24.0 -29.0)
Afrikaans,afr,Botswana,BWA,1 National,7200000,Point(22.0 -31.0),0.717,2291661,Point(23.7 -22.2)
Afrikaans,afr,Botswana,BWA,1 National,10300000,Point(22.0 -31.0),0.717,2291661,Point(23.7 -22.2)
Afrikaans,afr,Namibia,NAM,1 National,7200000,Point(22.0 -31.0),0.647,2533794,Point(17.0 -23.0)
Afrikaans,afr,Namibia,NAM,1 National,10300000,Point(22.0 -31.0),0.647,2533794,Point(17.0 -23.0)
Afro-Seminole Creole,afs,Mexico,MEX,8a Moribund,200,,0.756,124777324,Point(-102.0 23.0)
Afitti,aft,Sudan,SDN,6b Threatened,,,0.502,40533330,Point(32.0 15.0)
Efutu,afu,Ghana,GHA,5 Developing,,,0.592,26908262,Point(-0.5 8.0)
Obokuitai,afz,Indonesia,IDN,6b Threatened,,Point(138.0 -3.0),0.694,270625568,Point(118.0 -2.0)
Aguano,aga,Peru,PER,10 Extinct,,,0.75,29381884,Point(-76.0 -9.4)
Gbo,agb,Nigeria,NGA,6a Vigorous,,Point(8.0 6.0),0.532,190886311,Point(8.0 9.0)
Agatu,agc,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Agarabi,agd,Papua New Guinea,PNG,6a Vigorous,27000,Point(146.0 -6.166666666),0.555,8935000,Point(147.0 -6.3)
East Angal,age,Papua New Guinea,PNG,5 Developing,,,0.555,8935000,Point(147.0 -6.3)
Arguni,agf,Indonesia,IDN,6b Threatened,,,0.694,270625568,Point(118.0 -2.0)
Angor,agg,Papua New Guinea,PNG,6b Threatened,,,0.555,8935000,Point(147.0 -6.3)
Ngelima,agh,Democratic Republic of the Congo,COD,6a Vigorous,,Point(25.0 1.75),0.457,86790567,Point(23.656 -2.88)
Agariya,agi,India,IND,6a Vigorous,72000,,0.64,1326093247,Point(83.0 22.8)
Argobba,agj,Ethiopia,ETH,4 Educational,43700,,0.463,104957438,Point(40.0 9.0)
Inagta Partido,agk,Philippines,PHL,8b Nearly Extinct,,,0.699,100981437,Point(123.0 12.0)
Fembe,agl,Papua New Guinea,PNG,6b Threatened,,,0.555,8935000,Point(147.0 -6.3)
Angaataha,agm,Papua New Guinea,PNG,5 Developing,,Point(146.25 -7.216666666),0.555,8935000,Point(147.0 -6.3)
Agutaynen,agn,Philippines,PHL,5 Developing,,,0.699,100981437,Point(123.0 12.0)
Tainae,ago,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
Aghem,agq,Cameroon,CMR,5 Developing,,Point(10.0 6.666666666),0.556,24053727,Point(12.0 7.0)
Aguaruna,agr,Peru,PER,4 Educational,55300,Point(-78.0 -5.0),0.75,29381884,Point(-76.0 -9.4)
Esimbi,ags,Cameroon,CMR,6a Vigorous,,,0.556,24053727,Point(12.0 7.0)
Cagayan Agta,agt,Philippines,PHL,5 Developing,,Point(121.833333333 17.966666666),0.699,100981437,Point(123.0 12.0)
Awakatek,agu,Guatemala,GTM,4 Educational,27,Point(-91.333333333 15.416666666),0.627,17263239,Point(-90.25 15.5)
Sinauna,agv,Philippines,PHL,8a Moribund,,,0.699,100981437,Point(123.0 12.0)
Kahua,agw,Solomon Islands,SLB,5 Developing,,,0.546,611343,Point(159.816666666 -9.466666666)
Aghul,agx,Russia,RUS,6a Vigorous,29300,Point(47.666666666 41.75),0.816,146804372,Point(94.25 66.416666666)
Southern Alta,agy,Philippines,PHL,6b Threatened,,,0.699,100981437,Point(123.0 12.0)
Mount Iriga Agta,agz,Philippines,PHL,6b Threatened,,,0.699,100981437,Point(123.0 12.0)
Ahanta,aha,Ghana,GHA,5 Developing,,,0.592,26908262,Point(-0.5 8.0)
Axamb,ahb,Vanuatu,VUT,6a Vigorous,,,0.603,276244,Point(168.016669444 -16.633330555)
Qimant,ahg,Ethiopia,ETH,8b Nearly Extinct,,Point(37.416666666 12.666666666),0.463,104957438,Point(40.0 9.0)
Aghu,ahh,Indonesia,IDN,6b Threatened,3000,,0.694,270625568,Point(118.0 -2.0)
Tiagba,ahi,Ivory Coast,CIV,6a Vigorous,,,0.492,24294750,Point(-6.0 8.0)
Akha,ahk,People's Republic of China,CHN,5 Developing,560000,Point(99.833333333 21.833333333),0.752,1409517397,Point(103.451944444 35.844722222)
Akha,ahk,People's Republic of China,CHN,5 Developing,600000,Point(99.833333333 21.833333333),0.752,1409517397,Point(103.451944444 35.844722222)
Akha,ahk,People's Republic of China,CHN,5 Developing,560000,Point(99.833333333 21.833333333),0.752,1443497378,Point(103.451944444 35.844722222)
Akha,ahk,People's Republic of China,CHN,5 Developing,600000,Point(99.833333333 21.833333333),0.752,1443497378,Point(103.451944444 35.844722222)
Akha,ahk,Laos,LAO,5 Developing,560000,Point(99.833333333 21.833333333),0.601,6858160,Point(104.0 18.2)
Akha,ahk,Laos,LAO,5 Developing,600000,Point(99.833333333 21.833333333),0.601,6858160,Point(104.0 18.2)
Akha,ahk,Myanmar,MMR,5 Developing,560000,Point(99.833333333 21.833333333),0.578,53370609,Point(96.0 22.0)
Akha,ahk,Myanmar,MMR,5 Developing,600000,Point(99.833333333 21.833333333),0.578,53370609,Point(96.0 22.0)
