ISO,WALS_ID,Name,Macroarea,Country_ID,Latitude,Longitude,Family,Genus,Lenguaje de Señas,Status_X_L,wiki_country,countryISO,Status,num_speakers,HDI,country_population,Country_coord
ady,ady,Adyghe (Abzakh),Eurasia,RU,45.2333333333,40.5833333333,Northwest Caucasian,Northwest Caucasian,0,L,"['Turkey', 'Russia', 'Jordan', 'Syria']","['TUR', 'RUS', 'JOR', 'SYR']",2 Provincial,"[117500.0, 575900.0]","[0.82, 0.816, 0.748, 0.536]","[83614362.0, 146804372.0, 10428241.0, 18499181.0]","['Point(36.0 39.0)', 'Point(94.25 66.416666666)', 'Point(36.5 31.2)', 'Point(38.583333 35.216667)']"
ady,ash,Adyghe (Shapsugh),Eurasia,RU,45.0,38.75,Northwest Caucasian,Northwest Caucasian,0,L,"['Turkey', 'Russia', 'Jordan', 'Syria']","['TUR', 'RUS', 'JOR', 'SYR']",2 Provincial,"[117500.0, 575900.0]","[0.82, 0.816, 0.748, 0.536]","[83614362.0, 146804372.0, 10428241.0, 18499181.0]","['Point(36.0 39.0)', 'Point(94.25 66.416666666)', 'Point(36.5 31.2)', 'Point(38.583333 35.216667)']"
ale,aea,Aleut (Eastern),North America,US,54.75,-164.0,Eskimo-Aleut,Aleut,0,L,United States of America,USA,8a Moribund,155.0,0.92,331449281.0,Point(-98.5795 39.828175)
ale,ale,Aleut,North America,US,54.0,-166.0,Eskimo-Aleut,Aleut,0,L,United States of America,USA,8a Moribund,155.0,0.92,331449281.0,Point(-98.5795 39.828175)
arz,aeg,Arabic (Egyptian),Africa,EG,30.0,31.0,Afro-Asiatic,Semitic,0,L,Egypt,EGY,3 Wider Communication,100542400.0,0.696,94798827.0,Point(29.0 27.0)
ayl,ael,Arabic (Eastern Libyan),Africa,LY,32.0,22.0,Afro-Asiatic,Semitic,0,L,"['Egypt', 'Libya', 'Niger']","['EGY', 'LBY', 'NER']",3 Wider Communication,4320500.0,"[0.696, 0.706, 0.354]","[94798827.0, 6678567.0, 21477348.0]","['Point(29.0 27.0)', 'Point(17.0 27.0)', 'Point(10.0 17.0)']"
afr,afr,Afrikaans,Africa,ZA,-31.0,22.0,Indo-European,Germanic,0,L,"['South Africa', 'Botswana', 'Namibia']","['ZAF', 'BWA', 'NAM']",1 National,"[7200000.0, 10300000.0]","[0.699, 0.717, 0.647]","[59622350.0, 2291661.0, 2533794.0]","['Point(24.0 -29.0)', 'Point(23.7 -22.2)', 'Point(17.0 -23.0)']"
agd,aga,Agarabi,Papunesia,PG,-6.16666666667,146.0,Trans-New Guinea,Eastern Highlands,0,L,Papua New Guinea,PNG,6a Vigorous,27000.0,0.555,8935000.0,Point(147.0 -6.3)
agb,agb,Leggbó,Africa,NG,6.0,8.0,Niger-Congo,Cross River,0,L,Nigeria,NGA,6a Vigorous,,0.532,190886311.0,Point(8.0 9.0)
agt,agc,Agta (Central),Papunesia,PH,17.9666666667,121.833333333,Austronesian,Greater Central Philippine,0,L,Philippines,PHL,5 Developing,,0.699,100981437.0,Point(123.0 12.0)
duo,agd,Agta (Dupaningan),Papunesia,PH,18.0,122.083333333,Austronesian,Greater Central Philippine,0,L,Philippines,PHL,6b Threatened,,0.699,100981437.0,Point(123.0 12.0)
agq,agh,Aghem,Africa,CM,6.66666666667,10.0,Niger-Congo,Bantoid,0,L,Cameroon,CMR,5 Developing,,0.556,24053727.0,Point(12.0 7.0)
agx,agl,Aghul,Eurasia,RU,41.75,47.6666666667,Nakh-Daghestanian,Lezgic,0,L,Russia,RUS,6a Vigorous,29300.0,0.816,146804372.0,Point(94.25 66.416666666)
aoa,ago,Angolar,Africa,ST,0.25,6.5,other,Creoles and Pidgins,0,L,São Tomé and Príncipe,STP,6a Vigorous,,0.589,204327.0,Point(6.6 0.316667)
agr,agr,Aguaruna,South America,PE,-5.0,-78.0,Jivaroan,Jivaroan,0,L,Peru,PER,4 Educational,55300.0,0.75,29381884.0,Point(-76.0 -9.4)
lnj,agt,Anguthimri,Australia,AU,-12.3333333333,141.833333333,Pama-Nyungan,Northern Pama-Nyungan,0,X,Australia,AUS,10 Extinct,,0.939,24511800.0,Point(137.0 -28.0)
lnj,lnj,Linngithig,Australia,AU,-12.5,142.83,Pama-Nyungan,Northern Pama-Nyungan,0,X,Australia,AUS,10 Extinct,,0.939,24511800.0,Point(137.0 -28.0)
agu,agu,Aguacatec,North America,GT,15.4166666667,-91.3333333333,Mayan,Mayan,0,L,Guatemala,GTM,4 Educational,27.0,0.627,17263239.0,Point(-90.25 15.5)
wbj,agw,Alagwa,Africa,TZ,-5.5,35.75,Afro-Asiatic,Southern Cushitic,0,L,Tanzania,TZA,6b Threatened,,0.538,57310019.0,Point(34.854 -6.307)
arp,aho,Arapaho,North America,US,40.0,-103.0,Algic,Algonquian,0,L,United States of America,USA,8a Moribund,1000.0,0.92,331449281.0,Point(-98.5795 39.828175)
mey,ahs,Arabic (Bani-Hassan),Africa,MR,20.0,-10.0,Afro-Asiatic,Semitic,0,L,"['Algeria', 'Mali', 'Mauritania', 'Western Sahara']","['DZA', 'MLI', 'MRT', 'ESH']",3 Wider Communication,3763900.0,"[0.754, 0.427, 0.52]","[41318142.0, 18541980.0, 4420184.0, 582000.0]","['Point(1.0 28.0)', 'Point(-4.0 17.0)', 'Point(-11.0 21.0)', 'Point(-13.0 25.0)']"
aht,aht,Ahtna,North America,US,62.0,-145.0,Na-Dene,Athapaskan,0,L,United States of America,USA,8a Moribund,80.0,0.92,331449281.0,Point(-98.5795 39.828175)
ahh,ahu,Aghu,Papunesia,ID,-6.16666666667,140.166666667,Trans-New Guinea,Awju-Dumut,0,L,Indonesia,IDN,6b Threatened,3000.0,0.694,270625568.0,Point(118.0 -2.0)
tba,aik,Aikaná,South America,BR,-12.6666666667,-60.6666666667,,,0,L,Brazil,BRA,6b Threatened,,0.754,210147125.0,Point(-53.0 -14.0)
ain,ain,Ainu,Eurasia,JP,43.0,143.0,,,0,L,"['Japan', 'Russia']","['JPN', 'RUS']",8b Nearly Extinct,10.0,"[0.909, 0.816]","[126434565.0, 146804372.0]","['Point(136.0 35.0)', 'Point(94.25 66.416666666)']"
ahp,aiz,Aizi,Africa,CI,5.25,-4.5,Niger-Congo,Kru,0,L,Ivory Coast,CIV,6b Threatened,,0.492,24294750.0,Point(-6.0 8.0)
aja,aja,Aja,Africa,CF SS,7.33333333333,25.6666666667,Central Sudanic,Kresh,0,L,South Sudan,SSD,8b Nearly Extinct,,0.388,12575714.0,Point(30.0 7.0)
ajg,ajg,Ajagbe,Africa,BJ TG,7.0,1.75,Niger-Congo,Kwa,0,L,"['Togo', 'Benin']","['TGO', 'BEN']",5 Developing,"[781000.0, 1133000.0]","[0.503, 0.515]","[7797694.0, 11175692.0]","['Point(1.183333 8.25)', 'Point(2.183333333 8.833333333)']"
aji,aji,Ajië,Papunesia,NC,-21.3333333333,165.5,Austronesian,Oceanic,0,L,France,FRA,5 Developing,,0.888,66628000.0,Point(2.0 47.0)
axk,aka,Aka,Africa,CF CG,2.66666666667,16.25,Niger-Congo,Bantoid,0,L,"['Central African Republic', 'Republic of the Congo']","['CAF', 'COG']",5 Developing,,"[0.367, 0.606]","[4659080.0, 5260750.0]","['Point(20.9 6.7)', 'Point(15.383330555 -0.75)']"
abj,akb,Aka-Biada,Eurasia,IN,11.6666666667,92.5,Great Andamanese,Great Andamanese,0,X,India,IND,10 Extinct,,0.64,1326093247.0,Point(83.0 22.8)
aci,akc,Aka-Cari,Eurasia,IN,13.5,93.0,Great Andamanese,Great Andamanese,0,X,India,IND,10 Extinct,,0.64,1326093247.0,Point(83.0 22.8)
ahk,akh,Akha,Eurasia,CN TH MM,21.8333333333,99.8333333333,Sino-Tibetan,Burmese-Lolo,0,L,"[""People's Republic of China"", 'Laos', 'Myanmar', 'Thailand', 'Vietnam']","['CHN', 'LAO', 'MMR', 'THA', 'VNM']",5 Developing,"[560000.0, 600000.0]","[0.752, 0.601, 0.578, 0.755, 0.694]","[1409517397.0, 1443497378.0, 6858160.0, 53370609.0, 65931550.0, 94660000.0]","['Point(103.451944444 35.844722222)', 'Point(104.0 18.2)', 'Point(96.0 22.0)', 'Point(101.0 14.0)', 'Point(108.0 16.0)']"
akx,akk,Aka-Kede,Eurasia,IN,12.75,92.75,Great Andamanese,Great Andamanese,0,X,India,IND,10 Extinct,,0.64,1326093247.0,Point(83.0 22.8)
akl,akl,Aklanon,Papunesia,PH,11.5833333333,122.333333333,Austronesian,Greater Central Philippine,0,L,Philippines,PHL,4 Educational,,0.699,100981437.0,Point(123.0 12.0)
rmz,akm,Arakanese (Marma),Eurasia,BD MM,21.5,92.5,Sino-Tibetan,Burmese-Lolo,0,L,"['India', 'Bangladesh']","['IND', 'BGD']",3 Wider Communication,,"[0.64, 0.632]","[1326093247.0, 165775000.0]","['Point(83.0 22.8)', 'Point(89.866667 24.016667)']"
aka,akn,Akan,Africa,GH,6.5,-1.25,Niger-Congo,Kwa,0,L,"['Ghana', 'Ivory Coast']","['GHA', 'CIV']",3 Wider Communication,8314600.0,"[0.592, 0.492]","[26908262.0, 24294750.0]","['Point(-0.5 8.0)', 'Point(-6.0 8.0)']"
acy,ako,Arabic (Kormakiti),Eurasia,CY,35.25,33.5,Afro-Asiatic,Semitic,0,L,Cyprus,CYP,7 Shifting,,0.85,1141166.0,Point(33.0 35.0)
ari,akr,Arikara,North America,US,45.5,-100.5,Caddoan,Caddoan,0,L,United States of America,USA,8b Nearly Extinct,10.0,0.92,331449281.0,Point(-98.5795 39.828175)
ake,akw,Akawaio,South America,GY,6.0,-59.5,Cariban,Cariban,0,L,"['Brazil', 'Venezuela', 'Guyana']","['BRA', 'VEN', 'GUY']",6b Threatened,,"[0.754, 0.761, 0.654]","[210147125.0, 28515829.0, 777859.0]","['Point(-53.0 -14.0)', 'Point(-67.0 8.0)', 'Point(-59.316667 5.733333)']"
amp,ala,Alamblak,Papunesia,PG,-4.66666666667,143.333333333,Sepik,Sepik Hill,0,L,Papua New Guinea,PNG,5 Developing,1500.0,0.555,8935000.0,Point(147.0 -6.3)
ald,ald,Alladian,Africa,CI,5.16666666667,-4.33333333333,Niger-Congo,Kwa,0,L,Ivory Coast,CIV,5 Developing,,0.492,24294750.0,Point(-6.0 8.0)
alq,alg,Algonquin,North America,CA,46.0,-77.0,Algic,Algonquian,0,L,Canada,CAN,6b Threatened,2430.0,0.926,37894799.0,Point(-109.0 56.0)
apr,alk,Arop-Lokep,Papunesia,PG,-5.38333333333,147.05,Austronesian,Oceanic,0,L,Papua New Guinea,PNG,5 Developing,,0.555,8935000.0,Point(147.0 -6.3)
nrz,all,Ala'ala,Papunesia,PG,-8.91666666667,146.75,Austronesian,Oceanic,0,L,Papua New Guinea,PNG,5 Developing,,0.555,8935000.0,Point(147.0 -6.3)
alp,aln,Alune,Papunesia,ID,-3.0,128.333333333,Austronesian,Central Malayo-Polynesian,0,L,Indonesia,IDN,6b Threatened,,0.694,270625568.0,Point(118.0 -2.0)
gsw,alt,Alsatian,Eurasia,FR,48.5,7.5,Indo-European,Germanic,0,L,"['Italy', 'Switzerland', 'Austria', 'France', 'Germany', 'Liechtenstein', 'Venezuela']","['ITA', 'CHE', 'AUT', 'FRA', 'DEU', 'LIE', 'VEN']",5 Developing,10000000.0,"[0.873, 0.93, 0.885, 0.888, 0.926, 0.908, 0.761]","[60317000.0, 8466017.0, 8809212.0, 66628000.0, 83149300.0, 37922.0, 28515829.0]","['Point(12.5 42.5)', 'Point(8.231973 46.798562)', 'Point(14.0 48.0)', 'Point(2.0 47.0)', 'Point(10.0 51.0)', 'Point(9.553889 47.145)', 'Point(-67.0 8.0)']"
gsw,gbe,German (Bern),Eurasia,CH,47.0,7.41666666667,Indo-European,Germanic,0,L,"['Italy', 'Switzerland', 'Austria', 'France', 'Germany', 'Liechtenstein', 'Venezuela']","['ITA', 'CHE', 'AUT', 'FRA', 'DEU', 'LIE', 'VEN']",5 Developing,10000000.0,"[0.873, 0.93, 0.885, 0.888, 0.926, 0.908, 0.761]","[60317000.0, 8466017.0, 8809212.0, 66628000.0, 83149300.0, 37922.0, 28515829.0]","['Point(12.5 42.5)', 'Point(8.231973 46.798562)', 'Point(14.0 48.0)', 'Point(2.0 47.0)', 'Point(10.0 51.0)', 'Point(9.553889 47.145)', 'Point(-67.0 8.0)']"
gsw,gos,German (Ostschweiz),Eurasia,CH,47.4166666667,9.25,Indo-European,Germanic,0,L,"['Italy', 'Switzerland', 'Austria', 'France', 'Germany', 'Liechtenstein', 'Venezuela']","['ITA', 'CHE', 'AUT', 'FRA', 'DEU', 'LIE', 'VEN']",5 Developing,10000000.0,"[0.873, 0.93, 0.885, 0.888, 0.926, 0.908, 0.761]","[60317000.0, 8466017.0, 8809212.0, 66628000.0, 83149300.0, 37922.0, 28515829.0]","['Point(12.5 42.5)', 'Point(8.231973 46.798562)', 'Point(14.0 48.0)', 'Point(2.0 47.0)', 'Point(10.0 51.0)', 'Point(9.553889 47.145)', 'Point(-67.0 8.0)']"
gsw,gpz,German (Appenzell),Eurasia,CH,47.3333333333,9.33333333333,Indo-European,Germanic,0,L,"['Italy', 'Switzerland', 'Austria', 'France', 'Germany', 'Liechtenstein', 'Venezuela']","['ITA', 'CHE', 'AUT', 'FRA', 'DEU', 'LIE', 'VEN']",5 Developing,10000000.0,"[0.873, 0.93, 0.885, 0.888, 0.926, 0.908, 0.761]","[60317000.0, 8466017.0, 8809212.0, 66628000.0, 83149300.0, 37922.0, 28515829.0]","['Point(12.5 42.5)', 'Point(8.231973 46.798562)', 'Point(14.0 48.0)', 'Point(2.0 47.0)', 'Point(10.0 51.0)', 'Point(9.553889 47.145)', 'Point(-67.0 8.0)']"
gsw,gtg,German (Thurgau),Eurasia,CH,47.5833333333,9.16666666667,Indo-European,Germanic,0,L,"['Italy', 'Switzerland', 'Austria', 'France', 'Germany', 'Liechtenstein', 'Venezuela']","['ITA', 'CHE', 'AUT', 'FRA', 'DEU', 'LIE', 'VEN']",5 Developing,10000000.0,"[0.873, 0.93, 0.885, 0.888, 0.926, 0.908, 0.761]","[60317000.0, 8466017.0, 8809212.0, 66628000.0, 83149300.0, 37922.0, 28515829.0]","['Point(12.5 42.5)', 'Point(8.231973 46.798562)', 'Point(14.0 48.0)', 'Point(2.0 47.0)', 'Point(10.0 51.0)', 'Point(9.553889 47.145)', 'Point(-67.0 8.0)']"
gsw,gzu,German (Zurich),Eurasia,CH,47.4166666667,8.5,Indo-European,Germanic,0,L,"['Italy', 'Switzerland', 'Austria', 'France', 'Germany', 'Liechtenstein', 'Venezuela']","['ITA', 'CHE', 'AUT', 'FRA', 'DEU', 'LIE', 'VEN']",5 Developing,10000000.0,"[0.873, 0.93, 0.885, 0.888, 0.926, 0.908, 0.761]","[60317000.0, 8466017.0, 8809212.0, 66628000.0, 83149300.0, 37922.0, 28515829.0]","['Point(12.5 42.5)', 'Point(8.231973 46.798562)', 'Point(14.0 48.0)', 'Point(2.0 47.0)', 'Point(10.0 51.0)', 'Point(9.553889 47.145)', 'Point(-67.0 8.0)']"
alr,alu,Alutor,Eurasia,RU,61.0,165.0,Chukotko-Kamchatkan,Northern Chukotko-Kamchatkan,0,L,Russia,RUS,8b Nearly Extinct,40.0,0.816,146804372.0,Point(94.25 66.416666666)
alh,alw,Alawa,Australia,AU,-15.1666666667,134.25,Mangarrayi-Maran,Alawa,0,L,Australia,AUS,8b Nearly Extinct,12.0,0.939,24511800.0,Point(137.0 -28.0)
btz,alx,Alas,Papunesia,ID,3.66666666667,97.8333333333,Austronesian,Northwest Sumatra-Barrier Islands,0,L,Indonesia,IDN,6a Vigorous,,0.694,270625568.0,Point(118.0 -2.0)
aly,aly,Alyawarra,Australia,AU,-22.5,135.0,Pama-Nyungan,Central Pama-Nyungan,0,L,Australia,AUS,5 Developing,,0.939,24511800.0,Point(137.0 -28.0)
aie,ama,Amara,Papunesia,PG,-5.66666666667,148.5,Austronesian,Oceanic,0,L,Papua New Guinea,PNG,6b Threatened,,0.555,8935000.0,Point(147.0 -6.3)
abt,amb,Ambulas,Papunesia,PG,-3.83333333333,143.0,Sepik,Ndu,0,L,Papua New Guinea,PNG,5 Developing,,0.555,8935000.0,Point(147.0 -6.3)
amc,amc,Amahuaca,South America,BR PE,-10.5,-72.5,Panoan,Panoan,0,L,"['Brazil', 'Peru']","['BRA', 'PER']",7 Shifting,,"[0.754, 0.75]","[210147125.0, 29381884.0]","['Point(-53.0 -14.0)', 'Point(-76.0 -9.4)']"
adx,amd,Amdo,Eurasia,CN,35.0,100.0,Sino-Tibetan,Bodic,0,L,People's Republic of China,CHN,6a Vigorous,810000.0,0.752,"[1409517397.0, 1443497378.0]",Point(103.451944444 35.844722222)
adx,amt,Amdo (Themchen),Eurasia,NP,38.0,98.0,Sino-Tibetan,Bodic,0,L,People's Republic of China,CHN,6a Vigorous,810000.0,0.752,"[1409517397.0, 1443497378.0]",Point(103.451944444 35.844722222)
aey,ame,Amele,Papunesia,PG,-5.25,145.583333333,Trans-New Guinea,Madang,0,L,Papua New Guinea,PNG,6b Threatened,,0.555,8935000.0,Point(147.0 -6.3)
amh,amh,Amharic,Africa,ET,10.0,38.0,Afro-Asiatic,Semitic,0,L,"['Ethiopia', 'Israel', 'Eritrea', 'Somalia', 'Sudan']","['ETH', 'ISR', 'ERI', 'SOM', 'SDN']",1 National,25000000.0,"[0.463, 0.899, 0.44, 0.502]","[104957438.0, 9093000.0, 3497000.0, 11031386.0, 40533330.0]","['Point(40.0 9.0)', 'Point(35.0 31.0)', 'Point(38.25 15.483333)', 'Point(47.0 6.0)', 'Point(32.0 15.0)']"
