ISO,WALS_ID,Name,Macroarea,Latitude,Longitude,Family,Subfamily,Genus,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A,Status_X_L,Lenguaje de Señas,wiki_country,countryISO,Status,num_speakers,HDI,country_population,Country_coord
abv,abh,Arabic (Bahrain),Eurasia,26.0,50.5,Afro-Asiatic,,Semitic,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Bahrain,BHR,3 Wider Communication,,0.824,1492584.0,Point(50.551111 26.0675)
axb,abi,Abipón,South America,-29.0,-61.0,Guaicuruan,,South Guaicuruan,AR,2.0,,5.0,3.0,2.0,,,2.0,,,,,2.0,,,2.0,2.0,3.0,3.0,,,,,,1.0,,3.0,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,11.0,,,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,5.0,1.0,,,,,,2.0,,1.0,2.0,2.0,,,,2.0,,4.0,,,,3.0,,3.0,2.0,,,,6.0,,,,2.0,1.0,1.0,1.0,9.0,,,,,,3.0,,,,1.0,,,,,,2.0,4.0,2.0,4.0,2.0,4.0,,,,,,,,1.0,1.0,,,1.0,,2.0,,1.0,2.0,1.0,2.0,3.0,3.0,1.0,,2.0,1.0,,1.0,,,,,1.0,,1.0,1.0,4.0,4.0,5.0,1.0,1.0,3.0,X,0,Argentina,ARG,,0.0,0.825,44938712.0,Point(-64.0 -34.0)
abk,abk,Abkhaz,Eurasia,43.0833333333,41.0,Northwest Caucasian,,Northwest Caucasian,GE,3.0,2.0,5.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,,2.0,2.0,1.0,3.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,11.0,,,,2.0,2.0,4.0,20.0,,,,,,,,,,,15.0,6.0,,,4.0,4.0,2.0,2.0,,,,,,,1.0,7.0,6.0,,1.0,4.0,5.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,6.0,4.0,2.0,1.0,2.0,5.0,,5.0,3.0,2.0,1.0,,1.0,,3.0,2.0,4.0,2.0,4.0,2.0,9.0,2.0,5.0,7.0,1.0,,1.0,2.0,1.0,1.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,,,,,,1.0,6.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,L,0,"['Turkey', 'Russia', 'Georgia', 'Iraq', 'Jordan', 'Syria', 'Republic of Abkhazia']","['TUR', 'RUS', 'GEO', 'IRQ', 'JOR', 'SYR']",2 Provincial,190110.0,"[0.82, 0.816, 0.754, 0.685, 0.748, 0.536]","[83614362.0, 146804372.0, 3717100.0, 38274618.0, 10428241.0, 18499181.0, 242000.0]","['Point(36.0 39.0)', 'Point(94.25 66.416666666)', 'Point(43.733330555 42.016669444)', 'Point(43.0 33.0)', 'Point(36.5 31.2)', 'Point(38.583333 35.216667)', 'Point(40.983330555 43.0)', 'Point(41.0 43.15)']"
akz,abm,Alabama,North America,32.3333333333,-87.4166666667,Muskogean,,Muskogean,US,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,2.0,,2.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0,L,0,United States of America,USA,6b Threatened,100.0,0.92,331449281.0,Point(-98.5795 39.828175)
ard,abn,Arabana,Australia,-28.25,136.25,Pama-Nyungan,,Central Pama-Nyungan,AU,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,2.0,,4.0,,,,,2.0,,,3.0,1.0,,6.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,5.0,,1.0,1.0,,1.0,1.0,,,3.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,L,0,Australia,AUS,8b Nearly Extinct,,0.939,24511800.0,Point(137.0 -28.0)
arv,abo,Arbore,Africa,5.0,36.75,Afro-Asiatic,Cushitic,Lowland East Cushitic,ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,2.0,2.0,,2.0,,1.0,,1.0,,,,,,,,,,2.0,2.0,,,,L,0,Ethiopia,ETH,6a Vigorous,7210.0,0.463,104957438.0,Point(40.0 9.0)
kgr,abu,Abun,Papunesia,-0.5,132.5,West Papuan,,North-Central Bird's Head,ID,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,6.0,,,1.0,1.0,,,,,,,,,2.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,14.0,1.0,,,1.0,1.0,4.0,18.0,,,14.0,,1.0,,4.0,5.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,1.0,,,2.0,1.0,,,,,,,,3.0,1.0,2.0,,2.0,,,,9.0,,,,3.0,2.0,,,,,,6.0,,,,1.0,,,,,5.0,,5.0,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,2.0,2.0,2.0,5.0,4.0,4.0,4.0,,,,L,0,Indonesia,IDN,6b Threatened,3000.0,0.694,270625568.0,Point(118.0 -2.0)
abz,abv,Abui,Papunesia,-8.25,124.666666667,Timor-Alor-Pantar,,Greater Alor,ID,,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,5.0,1.0,2.0,1.0,2.0,,1.0,,1.0,,,,,,,2.0,,,2.0,2.0,,,,L,0,Indonesia,IDN,6a Vigorous,,0.694,270625568.0,Point(118.0 -2.0)
abe,abw,Abenaki (Western),North America,44.0,-72.25,Algic,,Algonquian,CA US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Canada,CAN,8b Nearly Extinct,,0.926,37894799.0,Point(-109.0 56.0)
abq,abz,Abaza,Eurasia,44.0,42.0,Northwest Caucasian,,Northwest Caucasian,RU,,,,,,,,,,,3.0,3.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,L,0,"['Turkey', 'Russia', 'Karachay-Cherkess Republic']","['TUR', 'RUS']",5 Developing,48000.0,"[0.82, 0.816]","[83614362.0, 146804372.0, 465357.0]","['Point(36.0 39.0)', 'Point(94.25 66.416666666)', 'Point(41.783333333 43.916666666)']"
ace,ace,Acehnese,Eurasia,5.5,95.5,Austronesian,,Malayo-Sumbawan,ID,4.0,,5.0,5.0,2.0,4.0,,2.0,,,,,,,,2.0,,,,1.0,1.0,3.0,1.0,1.0,,2.0,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,5.0,1.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,9.0,1.0,,,5.0,5.0,,,,,3.0,1.0,,6.0,,1.0,,2.0,,,,9.0,,,,,,4.0,,,,,,,,2.0,1.0,,,,,5.0,,5.0,2.0,,,2.0,1.0,2.0,,,,,,,7.0,,3.0,3.0,6.0,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,3.0,5.0,3.0,1.0,5.0,5.0,5.0,,,,L,0,Indonesia,IDN,6b Threatened,3500032.0,0.694,270625568.0,Point(118.0 -2.0)
aca,acg,Achagua,South America,4.41666666667,-72.25,Arawakan,,Inland Northern Arawakan,CO,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,6.0,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,2.0,8.0,1.0,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,1.0,,3.0,4.0,4.0,,,,L,0,Colombia,COL,6b Threatened,,0.747,49065615.0,Point(-74.0 4.0)
guq,ach,Aché,South America,-25.25,-55.1666666667,Tupian,,Tupi-Guaraní,PY,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,L,0,Paraguay,PRY,5 Developing,,0.702,6811297.0,Point(-58.0 -23.5)
acr,aci,Achí,North America,15.1666666667,-90.5,Mayan,,Mayan,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Guatemala,GTM,6b Threatened,,0.627,17263239.0,Point(-90.25 15.5)
ach,acl,Acholi,Africa,3.0,32.6666666667,Eastern Sudanic,,Nilotic,UG SS,,2.0,,,,,,,,,,,,,,,,,,,,4.0,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,1.0,4.0,16.0,,,13.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,6.0,,,,3.0,,,,,,,,,,,,,,,,,9.0,1.0,,,,,2.0,,,,,,,,2.0,,,,,,1.0,,1.0,4.0,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,,2.0,,1.0,,1.0,,,,,,,2.0,1.0,4.0,4.0,4.0,,,,L,0,"['South Sudan', 'Uganda']","['SSD', 'UGA']",5 Developing,1200000.0,"[0.388, 0.516]","[12575714.0, 42862958.0]","['Point(30.0 7.0)', 'Point(32.39 1.28)']"
acv,acm,Achumawi,North America,41.5,-121.0,Hokan,,Palaihnihan,US,2.0,,5.0,2.0,5.0,,,2.0,,,,,,,,,3.0,2.0,1.0,,,,3.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,4.0,4.0,21.0,,,11.0,,,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,6.0,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,2.0,4.0,,,,,,,,2.0,2.0,,,1.0,,2.0,,1.0,2.0,6.0,2.0,,,,,2.0,,,,,,,,,,,,4.0,,,,,,L,0,United States of America,USA,8b Nearly Extinct,,0.92,331449281.0,Point(-98.5795 39.828175)
acn,acn,Achang,Eurasia,25.0,98.5,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,CN MM,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,3.0,2.0,2.0,,2.0,1.0,,,,,,,2.0,2.0,,1.0,1.0,5.0,,,,L,0,"[""People's Republic of China"", 'Myanmar']","['CHN', 'MMR']",7 Shifting,,"[0.752, 0.578]","[1409517397.0, 1443497378.0, 53370609.0]","['Point(103.451944444 35.844722222)', 'Point(96.0 22.0)']"
kjq,aco,Acoma,North America,34.9166666667,-107.583333333,Keresan,,Keresan,US,4.0,2.0,5.0,2.0,5.0,,,2.0,1.0,,3.0,4.0,2.0,,,,2.0,3.0,3.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,2.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,3.0,,,,8.0,,,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,5.0,1.0,,5.0,2.0,3.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,5.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,6.0,1.0,7.0,,1.0,3.0,6.0,1.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,,1.0,5.0,5.0,5.0,1.0,,3.0,L,0,United States of America,USA,7 Shifting,,0.92,331449281.0,Point(-98.5795 39.828175)
acu,acu,Achuar,South America,-2.66667,-76.0,Jivaroan,,Jivaroan,PE,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,1.0,4.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,6.0,,,,,,,,,L,0,"['Peru', 'Ecuador']","['PER', 'ECU']",5 Developing,,"[0.75, 0.746]","[29381884.0, 16624858.0]","['Point(-76.0 -9.4)', 'Point(-78.0 -1.0)']"
