,ISO,Macroarea,Latitude,Longitude,Status_X_L,countryISO,num_speakers,country_population,Country_coord,cant_paises
1427,mmy,Africa,12.1666666667,19.8333333333,0.0,TCD,20000.0,15477751.0,Point(19.4 15.466667),1
1428,tma,Africa,13.5,22.0,0.0,"['TCD', 'SDN']",289900.0,"[15477751.0, 40533330.0]","['Point(19.4 15.466667)', 'Point(32.0 15.0)']",2
1429,tma,Africa,14.5,22.0,0.0,"['TCD', 'SDN']",289900.0,"[15477751.0, 40533330.0]","['Point(19.4 15.466667)', 'Point(32.0 15.0)']",2
1430,mxj,Eurasia,29.0,96.0,0.0,"['CHN', 'IND']",3200.0,"[1409517397.0, 1443497378.0, 1326093247.0]","['Point(103.451944444 35.844722222)', 'Point(83.0 22.8)']",2
1431,mjw,Eurasia,26.3333333333,93.5,0.0,IND,529000.0,1326093247.0,Point(83.0 22.8),1
1432,min,Papunesia,-1.0,101.0,0.0,"['IDN', 'MYS']",5530000.0,"[270625568.0, 31624264.0]","['Point(118.0 -2.0)', 'Point(108.0 3.0)']",2
1433,mep,Australia,-15.6666666667,129.0,0.0,AUS,156.0,24511800.0,Point(137.0 -28.0),1
1434,miq,North America,14.0,-83.6666666667,0.0,"['HND', 'NIC']",180000.0,"[9265067.0, 6217581.0]","['Point(-86.816667 14.633333)', 'Point(-85.0 13.0)']",2
1435,zmq,Africa,-1.66666666667,25.5,0.0,COD,50900.0,86790567.0,Point(23.656 -2.88),1
1436,mkf,Africa,10.9166666667,9.66666666667,0.0,NGA,30000.0,190886311.0,Point(8.0 9.0),1
1437,lus,Eurasia,23.1666666667,92.8333333333,0.0,"['IND', 'MMR', 'BGD']",500000.0,"[1326093247.0, 53370609.0, 165775000.0]","['Point(83.0 22.8)', 'Point(96.0 22.0)', 'Point(89.866667 24.016667)']",3
1438,mxt,North America,16.25,-97.8333333333,0.0,MEX,9760.0,124777324.0,Point(-102.0 23.0),1
1439,mjc,North America,16.5,-98.0,0.0,MEX,5580.0,124777324.0,Point(-102.0 23.0),1
1440,mfv,Africa,12.0,-16.25,0.0,"['GMB', 'GNB', 'SEN']",407700.0,"[2100568.0, 1861283.0, 15850567.0]","['Point(-15.5 13.5)', 'Point(-15.0 12.0)', 'Point(-14.283333 14.366667)']",3
