,ISO,Name,Macroarea,Latitude_lang,Longitude_lang,Status_X_L,Status,num_speakers,cant_paises,Native_country,country_ISO,Latitude_country,Longitude_country,Coord_country_point,country_population,Family,Genus,WALS_ID,HDI,Nearest_languages
526,cta,Chatino (Tataltepec),North America,16.1666666667,-97.5833333333,0.0,6b Threatened,51600.0,1,MX,MEX,[23.0],[-102.0],Point(-102.0 23.0),124777324.0,Oto-Manguean,Zapotecan,ctt,0.756,152
527,chc,Catawba,North America,35.5,-80.5,0.0,9 Reawakening,9.0,1,US,USA,[39.828175],[-98.5795],Point(-98.5795 39.828175),331449281.0,Siouan,Catawban,ctw,0.92,33
528,cua,Cua,Eurasia,15.25,108.5,0.0,6b Threatened,12000.0,1,VN,VNM,[16.0],[108.0],Point(108.0 16.0),94660000.0,Austro-Asiatic,Bahnaric,cua,0.694,52
529,cub,Cubeo,South America,1.33333333333,-70.5,0.0,3 Wider Communication,6260.0,2,CO,"['BRA', 'COL']","[-14.0, 4.0]","[-53.0, -74.0]","['Point(-53.0 -14.0)', 'Point(-74.0 4.0)']","[210147125.0, 49065615.0]",Tucanoan,Tucanoan,cub,"[0.754, 0.747]",143
530,cui,Cuiba,South America,6.5,-70.0,0.0,5 Developing,2640.0,2,CO,"['VEN', 'COL']","[8.0, 4.0]","[-67.0, -74.0]","['Point(-67.0 8.0)', 'Point(-74.0 4.0)']","[28515829.0, 49065615.0]",Guahiban,Guahiban,cui,"[0.761, 0.747]",172
531,cul,Culina,South America,-6.0,-70.5,0.0,6b Threatened,3420.0,2,BR PE,"['BRA', 'PER']","[-14.0, -9.4]","[-53.0, -76.0]","['Point(-53.0 -14.0)', 'Point(-76.0 -9.4)']","[210147125.0, 29381884.0]",Arauan,Arauan,cul,"[0.754, 0.75]",130
532,ncu,Chumburung,Africa,7.75,0.25,0.0,5 Developing,95000.0,1,GH,GHA,[8.0],[-0.5],Point(-0.5 8.0),26908262.0,Niger-Congo,Kwa,cum,0.592,152
533,cup,Cupeño,North America,33.1666666667,-116.5,0.0,9 Dormant,0.0,1,US,USA,[39.828175],[-98.5795],Point(-98.5795 39.828175),331449281.0,Uto-Aztecan,California Uto-Aztecan,cup,0.92,103
534,kpc,Curripaco,South America,2.5,-68.5,0.0,5 Developing,12070.0,3,CO,"['BRA', 'VEN', 'COL']","[-14.0, 8.0, 4.0]","[-53.0, -67.0, -74.0]","['Point(-53.0 -14.0)', 'Point(-67.0 8.0)', 'Point(-74.0 4.0)']","[210147125.0, 28515829.0, 49065615.0]",Arawakan,Inland Northern Arawakan,cur,"[0.754, 0.761, 0.747]",219
535,cuy,Cuitlatec,North America,17.5,-101.0,1.0,10 Extinct,0.0,1,MX,MEX,[23.0],[-102.0],Point(-102.0 23.0),124777324.0,,,cut,0.756,150
536,chk,Chuukese,Papunesia,7.33333333333,151.75,0.0,2 Provincial,56990.0,1,FM,FSM,[6.916666666],[158.183333333],Point(158.183333333 6.916666666),105544.0,Austronesian,Oceanic,cuu,0.627,127
537,cbk,Chavacano,Papunesia,7.0,122.083333333,0.0,4 Educational,431000.0,1,PH,PHL,[12.0],[123.0],Point(123.0 12.0),100981437.0,other,Creoles and Pidgins,cvc,0.699,144
538,cjv,Chuave,Papunesia,-6.11666666667,145.116666667,0.0,5 Developing,25980.0,1,PG,PNG,[-6.3],[147.0],Point(147.0 -6.3),8935000.0,Trans-New Guinea,Chimbu,cve,0.555,336
539,col,Columbia-Wenatchi,North America,47.5,-120.0,0.0,8b Nearly Extinct,17.0,1,US,USA,[39.828175],[-98.5795],Point(-98.5795 39.828175),331449281.0,Salishan,Interior Salish,cwe,0.92,98
540,cay,Cayuga,North America,42.75,-76.75,0.0,8a Moribund,46.0,2,US,"['CAN', 'USA']","[56.0, 39.828175]","[-109.0, -98.5795]","['Point(-109.0 56.0)', 'Point(-98.5795 39.828175)']","[37894799.0, 331449281.0]",Iroquoian,Northern Iroquoian,cyg,"[0.926, 0.92]",82
541,chy,Cheyenne,North America,47.0,-95.0,0.0,8a Moribund,2400.0,1,US,USA,[39.828175],[-98.5795],Point(-98.5795 39.828175),331449281.0,Algic,Algonquian,cyn,0.92,43
542,cyb,Cayuvava,South America,-13.5,-65.5,0.0,9 Dormant,0.0,1,BO,BOL,[-17.056869611],[-64.991228611],Point(-64.991228611 -17.056869611),11051600.0,,,cyv,0.693,77
543,ces,Czech,Eurasia,50.0,15.0,0.0,1 National,11500000.0,1,CZ,CZE,[50.0],[16.0],Point(16.0 50.0),10701777.0,Indo-European,Slavic,cze,0.878,142
544,kzf,Da'a,Papunesia,-1.0,119.583333333,0.0,5 Developing,62600.0,1,ID,IDN,[-2.0],[118.0],Point(118.0 -2.0),270625568.0,Austronesian,Celebic,daa,0.694,134
545,mps,Dadibi,Papunesia,-6.55,144.583333333,0.0,5 Developing,12580.0,1,PG,PNG,[-6.3],[147.0],Point(147.0 -6.3),8935000.0,Teberan-Pawaian,Teberan,dad,0.555,338
546,dgz,Daga,Papunesia,-10.0,149.333333333,0.0,5 Developing,9000.0,1,PG,PNG,[-6.3],[147.0],Point(147.0 -6.3),8935000.0,Dagan,Dagan,dag,0.555,317
547,dal,Dahalo,Africa,-2.33333333333,40.5,0.0,8a Moribund,400.0,1,KE,KEN,[0.1],[38.0],Point(38.0 0.1),48468138.0,Afro-Asiatic,Dahalo,dah,0.548,88
548,dak,Dakota,North America,45.0,-93.5,0.0,7 Shifting,20000.0,2,US,"['CAN', 'USA']","[56.0, 39.828175]","[-109.0, -98.5795]","['Point(-109.0 56.0)', 'Point(-98.5795 39.828175)']","[37894799.0, 331449281.0]",Siouan,Core Siouan,dak,"[0.926, 0.92]",82
549,mbp,Damana,South America,11.0,-73.5,0.0,6a Vigorous,1850.0,1,CO,COL,[4.0],[-74.0],Point(-74.0 4.0),49065615.0,Chibchan,Arhuacic,dam,0.747,62
550,dnj,Dan,Africa,7.5,-8.0,0.0,5 Developing,1568800.0,3,CI GN LR,"['GIN', 'CIV', 'LBR']","[10.0, 8.0, 6.533333]","[-11.0, -6.0, -9.75]","['Point(-11.0 10.0)', 'Point(-6.0 8.0)', 'Point(-9.75 6.533333)']","[12717176.0, 24294750.0, 4731906.0]",Mande,Eastern Mande,dan,"[0.459, 0.492, 0.435]",208
551,dry,Darai,Eurasia,24.0,84.0,0.0,6b Threatened,12050.0,1,NP,NPL,[28.0],[84.0],Point(84.0 28.0),30327877.0,Indo-European,Indic,dar,0.574,104
552,tcc,Datooga,Africa,-4.33333333333,35.3333333333,0.0,5 Developing,161000.0,1,TZ,TZA,[-6.307],[34.854],Point(34.854 -6.307),57310019.0,Eastern Sudanic,Nilotic,dat,0.538,96
553,kwa,Dâw,South America,-0.25,-67.0833333333,0.0,6a Vigorous,120.0,1,BR,BRA,[-14.0],[-53.0],Point(-53.0 -14.0),210147125.0,Nadahup,Nadahup,daw,0.754,98
554,dai,Day,Africa,8.75,17.8333333333,0.0,6a Vigorous,49900.0,1,TD,TCD,[15.466667],[19.4],Point(19.4 15.466667),15477751.0,Niger-Congo,Day,day,0.404,231
555,dav,Dabida,Africa,-4.0,38.6666666667,0.0,5 Developing,344000.0,1,KE,KEN,[0.1],[38.0],Point(38.0 0.1),48468138.0,Niger-Congo,Bantoid,dbd,0.548,79
556,nld,Dutch (Brabantic),Eurasia,50.75,4.5,0.0,1 National,24000000.0,9,BE,"['BEL', 'NLD', 'FRA', 'DEU', 'SUR', 'ABW', 'CUW', 'SXM', 'BES']","[50.641111111, 52.316666666, 47.0, 51.0, 4.0, 12.51106253, 12.166666666, 18.031944444, 12.183333333, 52.366666666]","[4.668055555, 5.55, 2.0, 10.0, -56.0, -69.97422388, -68.966666666, -63.067777777, -68.233333333, 4.883333333]","['Point(4.668055555 50.641111111)', 'Point(5.55 52.316666666)', 'Point(2.0 47.0)', 'Point(10.0 51.0)', 'Point(-56.0 4.0)', 'Point(-69.97422388 12.51106253)', 'Point(-68.966666666 12.166666666)', 'Point(-63.067777777 18.031944444)', 'Point(-68.233333333 12.183333333)', 'Point(4.883333333 52.366666666)']","[11431406.0, 17282163.0, 66628000.0, 83149300.0, 563402.0, 102911.0, 160337.0, 37132.0, 25019.0, 17100715.0]",Indo-European,Germanic,dbr,"[0.89, 0.922, 0.931, 0.888, 0.926, 0.72]",547
557,nld,Dutch (Limburg),Eurasia,50.75,4.5,0.0,1 National,24000000.0,9,BE,"['BEL', 'NLD', 'FRA', 'DEU', 'SUR', 'ABW', 'CUW', 'SXM', 'BES']","[50.641111111, 52.316666666, 47.0, 51.0, 4.0, 12.51106253, 12.166666666, 18.031944444, 12.183333333, 52.366666666]","[4.668055555, 5.55, 2.0, 10.0, -56.0, -69.97422388, -68.966666666, -63.067777777, -68.233333333, 4.883333333]","['Point(4.668055555 50.641111111)', 'Point(5.55 52.316666666)', 'Point(2.0 47.0)', 'Point(10.0 51.0)', 'Point(-56.0 4.0)', 'Point(-69.97422388 12.51106253)', 'Point(-68.966666666 12.166666666)', 'Point(-63.067777777 18.031944444)', 'Point(-68.233333333 12.183333333)', 'Point(4.883333333 52.366666666)']","[11431406.0, 17282163.0, 66628000.0, 83149300.0, 563402.0, 102911.0, 160337.0, 37132.0, 25019.0, 17100715.0]",Indo-European,Germanic,dli,"[0.89, 0.922, 0.931, 0.888, 0.926, 0.72]",547
558,nld,Dutch,Eurasia,50.75,4.5,0.0,1 National,24000000.0,9,NL,"['BEL', 'NLD', 'FRA', 'DEU', 'SUR', 'ABW', 'CUW', 'SXM', 'BES']","[50.641111111, 52.316666666, 47.0, 51.0, 4.0, 12.51106253, 12.166666666, 18.031944444, 12.183333333, 52.366666666]","[4.668055555, 5.55, 2.0, 10.0, -56.0, -69.97422388, -68.966666666, -63.067777777, -68.233333333, 4.883333333]","['Point(4.668055555 50.641111111)', 'Point(5.55 52.316666666)', 'Point(2.0 47.0)', 'Point(10.0 51.0)', 'Point(-56.0 4.0)', 'Point(-69.97422388 12.51106253)', 'Point(-68.966666666 12.166666666)', 'Point(-63.067777777 18.031944444)', 'Point(-68.233333333 12.183333333)', 'Point(4.883333333 52.366666666)']","[11431406.0, 17282163.0, 66628000.0, 83149300.0, 563402.0, 102911.0, 160337.0, 37132.0, 25019.0, 17100715.0]",Indo-European,Germanic,dut,"[0.89, 0.922, 0.931, 0.888, 0.926, 0.72]",547
