country,countryLabel,language,languageLabel,ISO,countryISO
http://www.wikidata.org/entity/Q45,Portugal,http://www.wikidata.org/entity/Q13330,Mirandese,mwl,PRT
http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q7411,Dutch,nld,NLD
http://www.wikidata.org/entity/Q77,Uruguay,http://www.wikidata.org/entity/Q1321,Spanish,spa,URY
http://www.wikidata.org/entity/Q79,Egypt,http://www.wikidata.org/entity/Q13955,Arabic,ara,EGY
http://www.wikidata.org/entity/Q96,Mexico,http://www.wikidata.org/entity/Q1321,Spanish,spa,MEX
http://www.wikidata.org/entity/Q96,Mexico,http://www.wikidata.org/entity/Q13354,Yucatec Maya,yua,MEX
http://www.wikidata.org/entity/Q1050859,Gilbert and Ellice Islands,http://www.wikidata.org/entity/Q1860,English,eng,GEL
http://www.wikidata.org/entity/Q126125,Saint Martin (French part),http://www.wikidata.org/entity/Q150,French,fra,MAF
http://www.wikidata.org/entity/Q129003,French Southern and Antarctic Lands,http://www.wikidata.org/entity/Q150,French,fra,ATF
http://www.wikidata.org/entity/Q131198,Heard Island and McDonald Islands,http://www.wikidata.org/entity/Q1860,English,eng,HMD
http://www.wikidata.org/entity/Q165783,British Antarctic Territory,http://www.wikidata.org/entity/Q1860,English,eng,ATB
http://www.wikidata.org/entity/Q192184,"Saint Helena, Ascension and Tristan da Cunha",http://www.wikidata.org/entity/Q1860,English,eng,SHN
http://www.wikidata.org/entity/Q219060,State of Palestine,http://www.wikidata.org/entity/Q13955,Arabic,ara,PSE
http://www.wikidata.org/entity/Q407199,Palestinian territories,http://www.wikidata.org/entity/Q9288,Hebrew,heb,PSE
http://www.wikidata.org/entity/Q407199,Palestinian territories,http://www.wikidata.org/entity/Q13955,Arabic,ara,PSE
http://www.wikidata.org/entity/Q752431,New Hebrides,http://www.wikidata.org/entity/Q150,French,fra,NHB
http://www.wikidata.org/entity/Q752431,New Hebrides,http://www.wikidata.org/entity/Q1860,English,eng,NHB
http://www.wikidata.org/entity/Q752431,New Hebrides,http://www.wikidata.org/entity/Q35452,Bislama,bis,NHB
http://www.wikidata.org/entity/Q797422,Republic of Upper Volta,http://www.wikidata.org/entity/Q150,French,fra,HVO
http://www.wikidata.org/entity/Q798431,Republic of Dahomey,http://www.wikidata.org/entity/Q150,French,fra,DHY
http://www.wikidata.org/entity/Q83286,Socialist Federal Republic of Yugoslavia,http://www.wikidata.org/entity/Q9063,Slovene,slv,YUG
http://www.wikidata.org/entity/Q83286,Socialist Federal Republic of Yugoslavia,http://www.wikidata.org/entity/Q9296,Macedonian,mkd,YUG
http://www.wikidata.org/entity/Q83286,Socialist Federal Republic of Yugoslavia,http://www.wikidata.org/entity/Q9301,Serbo-Croatian,hbs,YUG
http://www.wikidata.org/entity/Q838261,Federal Republic of Yugoslavia,http://www.wikidata.org/entity/Q9299,Serbian,srp,YUG
http://www.wikidata.org/entity/Q842829,Svalbard and Jan Mayen,http://www.wikidata.org/entity/Q9043,Norwegian,nor,SJM
http://www.wikidata.org/entity/Q1000,Gabon,http://www.wikidata.org/entity/Q150,French,fra,GAB
http://www.wikidata.org/entity/Q1005,The Gambia,http://www.wikidata.org/entity/Q1860,English,eng,GMB
