,ISO,WALS_ID,Name,Macroarea,Native_country,Latitude_lang,Longitude_lang,Family,Genus,Country_name,countryISO,Status,num_speakers,HDI,country_population,Country_coord,cant_paises,Country_lat,Country_long,nearest,Status_binario,official_in
2279,tcy,tul,Tulu,Eurasia,IN,12.75,75.3333333333,Dravidian,Southern Dravidian,India,IND,5 Developing,2000000.0,0.64,1326093247.0,POINT (83 22.8),1,83.0,22.8,61.0,1.0,
2280,tmq,tum,Tumleo,Papunesia,PG,-3.08333333333,142.416666667,Austronesian,Oceanic,Papua New Guinea,PNG,6a Vigorous,790.0,0.555,8935000.0,POINT (147 -6.3),1,147.0,-6.3,323.0,1.0,
2281,tun,tun,Tunica,North America,US,32.6666666667,-91.0,,,United States of America,USA,9 Reawakening,32.0,0.92,331449281.0,POINT (-98.5795 39.828175),1,-98.5795,39.828175,37.0,0.0,
2282,tur,tur,Turkish,Eurasia,TR,39.0,35.0,Altaic,Turkic,"['Greece', 'Turkey', 'Bulgaria', 'Cyprus', 'Turkish Republic of Northern Cyprus']","['GRC', 'TUR', 'BGR', 'CYP']",1 National,82231620.0,"[0.865, 0.82, 0.782, 0.85]","[10760421.0, 83614362.0, 7000039.0, 1141166.0, 313626.0]","[<shapely.geometry.point.Point object at 0x7f53a732b8b0>, <shapely.geometry.point.Point object at 0x7f53a732b2e0>, <shapely.geometry.point.Point object at 0x7f53a732b5e0>, <shapely.geometry.point.Point object at 0x7f53a732b7f0>, <shapely.geometry.point.Point object at 0x7f53a732b220>]",4,"[23.0, 36.0, 25.5, 33.0, 33.363474]","[38.5, 39.0, 42.75, 35.0, 35.180975]",145.0,1.0,"['CYP', 'TUR']"
2283,tus,tus,Tuscarora,North America,US,36.0,-77.5,Iroquoian,Northern Iroquoian,"['Canada', 'United States of America']","['CAN', 'USA']",8b Nearly Extinct,2.0,"[0.926, 0.92]","[37894799.0, 331449281.0]","[<shapely.geometry.point.Point object at 0x7f53a732b250>, <shapely.geometry.point.Point object at 0x7f53a732bfd0>]",2,"[-109.0, -98.5795]","[56.0, 39.828175]",10.0,0.0,
2284,ttm,tut,Tutchone (Northern),North America,CA,63.0,-137.0,Na-Dene,Athapaskan,Canada,CAN,8a Moribund,220.0,0.926,37894799.0,POINT (-109 56),1,-109.0,56.0,6.0,0.0,
2285,tyv,tuv,Tuvan,Eurasia,RU MN,52.0,95.0,Altaic,Turkic,"['Russia', 'Mongolia']","['RUS', 'MNG']",2 Provincial,297000.0,"[0.816, 0.741]","[146804372.0, 3075647.0]","[<shapely.geometry.point.Point object at 0x7f53a732bac0>, <shapely.geometry.point.Point object at 0x7f53a73254f0>]",2,"[94.25, 104.0]","[66.416666666, 47.0]",9.0,1.0,
2286,tue,tuy,Tuyuca,South America,CO BR,0.5,-70.0833333333,Tucanoan,Tucanoan,"['Brazil', 'Colombia']","['BRA', 'COL']",6b Threatened,1440.0,"[0.754, 0.747]","[210147125.0, 49065615.0]","[<shapely.geometry.point.Point object at 0x7f53a7325280>, <shapely.geometry.point.Point object at 0x7f53a7325430>]",2,"[-53.0, -74.0]","[-14.0, 4.0]",2.0,0.0,
2287,tvt,tvt,Tutsa,Eurasia,IN,27.5,96.5,Sino-Tibetan,Northern Naga,India,IND,6a Vigorous,,0.64,1326093247.0,POINT (83 22.8),1,83.0,22.8,76.0,1.0,
2288,twa,twa,Twana,North America,US,47.6666666667,-122.75,Salishan,Central Salish,United States of America,USA,9 Dormant,0.0,0.92,331449281.0,POINT (-98.5795 39.828175),1,-98.5795,39.828175,79.0,0.0,
2289,tac,twe,Tarahumara (Western),North America,MX,27.5,-108.0,Uto-Aztecan,Tarahumaran,Mexico,MEX,5 Developing,,0.756,124777324.0,POINT (-102 23),1,-102.0,23.0,77.0,1.0,
2290,twf,twn,Tiwa (Northern),North America,US,36.5,-105.5,Kiowa-Tanoan,Kiowa-Tanoan,United States of America,USA,7 Shifting,1070.0,0.92,331449281.0,POINT (-98.5795 39.828175),1,-98.5795,39.828175,53.0,0.0,
2291,tix,tws,Tiwa (Southern),North America,US,35.0,-106.333333333,Kiowa-Tanoan,Kiowa-Tanoan,United States of America,USA,6b Threatened,1600.0,0.92,331449281.0,POINT (-98.5795 39.828175),1,-98.5795,39.828175,56.0,0.0,
2292,too,txj,Totonac (Xicotepec de Juárez),North America,MX,20.4166666667,-97.8333333333,Totonacan,Totonacan,Mexico,MEX,7 Shifting,3000.0,0.756,124777324.0,POINT (-102 23),1,-102.0,23.0,135.0,0.0,
2293,woa,tye,Tyeraity,Australia,AU,-13.0,130.333333333,Northern Daly,Northern Daly,Australia,AUS,9 Dormant,,0.939,24511800.0,POINT (137 -28),1,137.0,-28.0,166.0,0.0,
2294,tzh,tza,Tzeltal (Aguacatenango),North America,MX,16.4166666667,-92.5,Mayan,Mayan,State of Mexico,,5 Developing,,,16187608.0,POINT (-99.630833333 19.354166666),1,-99.630833333,19.354166666,123.0,1.0,
2295,tzh,tze,Tzeltal,North America,MX,16.8333333333,-92.25,Mayan,Mayan,State of Mexico,,5 Developing,557000.0,,16187608.0,POINT (-99.630833333 19.354166666),1,-99.630833333,19.354166666,122.0,1.0,
2296,tzh,tzt,Tzeltal (Tenejapa),North America,MX,16.6666666667,-92.3333333333,Mayan,Mayan,State of Mexico,,5 Developing,,,16187608.0,POINT (-99.630833333 19.354166666),1,-99.630833333,19.354166666,122.0,1.0,
2297,tzo,tzo,Tzotzil,North America,MX,16.5,-92.6666666667,Mayan,Mayan,Mexico,MEX,6b Threatened,350000.0,0.756,124777324.0,POINT (-102 23),1,-102.0,23.0,122.0,0.0,
2298,tzj,tzu,Tzutujil,North America,GT,14.6666666667,-91.3333333333,Mayan,Mayan,Guatemala,GTM,4 Educational,,0.627,17263239.0,POINT (-90.25 15.5),1,-90.25,15.5,121.0,1.0,
2299,uby,uby,Ubykh,Eurasia,RU TR,43.6666666667,39.6666666667,Northwest Caucasian,Northwest Caucasian,"['Turkey', 'Russian Empire']",TUR,10 Extinct,0.0,0.82,"[83614362.0, 125640021.0, 178378800.0, 181537800.0]","[<shapely.geometry.point.Point object at 0x7f53a2c7a4c0>, <shapely.geometry.point.Point object at 0x7f53a2c7a9a0>]",1,"[36.0, 70.1167]","[39.0, 58.65]",49.0,0.0,
2300,ude,udh,Udihe,Eurasia,RU,47.6666666667,136.25,Altaic,Tungusic,Russia,RUS,8a Moribund,103.0,0.816,146804372.0,POINT (94.25 66.416666666),1,94.25,66.416666666,65.0,0.0,
2301,udi,udi,Udi,Eurasia,AZ,41.0,48.0,Nakh-Daghestanian,Lezgic,"['Russia', 'Azerbaijan', 'Georgia']","['RUS', 'AZE', 'GEO']",5 Developing,8000.0,"[0.816, 0.751, 0.754]","[146804372.0, 10127874.0, 3717100.0]","[<shapely.geometry.point.Point object at 0x7f53a2c7a760>, <shapely.geometry.point.Point object at 0x7f53a2c7abb0>, <shapely.geometry.point.Point object at 0x7f53a2c7aaf0>]",3,"[94.25, 47.7, 43.733330555]","[66.416666666, 40.3, 42.016669444]",106.0,1.0,
2302,udm,udm,Udmurt,Eurasia,RU,57.5,52.5,Uralic,Permic,Russia,RUS,6b Threatened,340530.0,0.816,146804372.0,POINT (94.25 66.416666666),1,94.25,66.416666666,11.0,0.0,
2303,urf,uhi,Uradhi,Australia,AU,-11.9166666667,142.416666667,Pama-Nyungan,Northern Pama-Nyungan,Australia,AUS,10 Extinct,0.0,0.939,24511800.0,POINT (137 -28),1,137.0,-28.0,339.0,0.0,
2304,ukr,ukr,Ukrainian,Eurasia,UA,49.0,33.0,Indo-European,Slavic,"['Canada', 'Hungary', 'United States of America', 'Poland', 'Russia', 'Belarus', 'Ukraine', 'Czech Republic', 'Slovakia', 'Romania', 'Kazakhstan', 'Serbia']","['CAN', 'HUN', 'USA', 'POL', 'RUS', 'BLR', 'UKR', 'CZE', 'SVK', 'ROU', 'KAZ', 'SRB']",1 National,34710100.0,"[0.926, 0.828, 0.92, 0.843, 0.816, 0.798, 0.747, 0.878, 0.844, 0.793, 0.8, 0.771]","[37894799.0, 9769526.0, 331449281.0, 38382576.0, 146804372.0, 9349645.0, 42558328.0, 10701777.0, 5397036.0, 19586539.0, 18276500.0, 7022268.0]","[<shapely.geometry.point.Point object at 0x7f53a2c7ae50>, <shapely.geometry.point.Point object at 0x7f53a2c7a0a0>, <shapely.geometry.point.Point object at 0x7f53a2c7aca0>, <shapely.geometry.point.Point object at 0x7f53a2c7ae20>, <shapely.geometry.point.Point object at 0x7f53a2c7a580>, <shapely.geometry.point.Point object at 0x7f53a2c7a0d0>, <shapely.geometry.point.Point object at 0x7f53a2c7a370>, <shapely.geometry.point.Point object at 0x7f53a2c7ab50>, <shapely.geometry.point.Point object at 0x7f53a2c7aeb0>, <shapely.geometry.point.Point object at 0x7f53a2c7ac40>, <shapely.geometry.point.Point object at 0x7f53a2c7aac0>, <shapely.geometry.point.Point object at 0x7f53a2c7a8b0>]",12,"[-109.0, 19.0, -98.5795, 19.0, 94.25, 28.046666666, 32.0, 16.0, 20.0, 25.0, 68.0, 20.933333333]","[56.0, 47.0, 39.828175, 52.0, 66.416666666, 53.528333333, 49.0, 50.0, 49.0, 46.0, 48.0, 43.95]",164.0,1.0,['UKR']
2305,kuu,uku,Upper Kuskokwim,North America,US,63.0,-157.0,Na-Dene,Athapaskan,United States of America,USA,8a Moribund,,0.92,331449281.0,POINT (-98.5795 39.828175),1,-98.5795,39.828175,12.0,0.0,
2306,ulc,ulc,Ulcha,Eurasia,RU,52.25,140.333333333,Altaic,Tungusic,Russia,RUS,8a Moribund,154.0,0.816,146804372.0,POINT (94.25 66.416666666),1,94.25,66.416666666,54.0,0.0,
2307,udl,uld,Uldeme,Africa,CM,10.95,14.1166666667,Afro-Asiatic,Biu-Mandara,Cameroon,CMR,5 Developing,,0.556,24053727.0,POINT (12 7),1,12.0,7.0,255.0,1.0,
2308,uli,uli,Ulithian,Papunesia,FM,9.91666666667,139.583333333,Austronesian,Oceanic,Federated States of Micronesia,FSM,5 Developing,1000.0,0.627,105544.0,POINT (158.183333333 6.916666666),1,158.183333333,6.916666666,91.0,1.0,
2309,ppk,uma,Uma,Papunesia,ID,-1.83333333333,120.0,Austronesian,Celebic,Indonesia,IDN,5 Developing,450.0,0.694,270625568.0,POINT (118 -2),1,118.0,-2.0,109.0,1.0,
2310,umb,umb,UMbundu,Africa,AO,-12.5,15.0,Niger-Congo,Bantoid,Angola,AGO,3 Wider Communication,6000000.0,0.581,29784193.0,POINT (17.35 -12.35),1,17.35,-12.35,47.0,1.0,
