,ISO,WALS_ID,Name,Macroarea,Country_ID,Latitude,Longitude,Family,Genus,senas,Status_X_L,wiki_country,countryISO,Status,num_speakers,HDI,country_population,Country_coord,cant_paises,Country_lat,Country_long,nearest
679,fuc,fma,Fula (Mauritanian),Africa,MR,16.5,-13.75,Niger-Congo,Peul-Serer,0,L,"['Mali', 'The Gambia', 'Guinea', 'Guinea-Bissau', 'Mauritania', 'Senegal']","['MLI', 'GMB', 'GIN', 'GNB', 'MRT', 'SEN']",5 Developing,,"[0.427, 0.46, 0.459, 0.455, 0.52, 0.505]","[18541980.0, 2100568.0, 12717176.0, 1861283.0, 4420184.0, 15850567.0]","[<shapely.geometry.point.Point object at 0x7f72c041c460>, <shapely.geometry.point.Point object at 0x7f72c041c4c0>, <shapely.geometry.point.Point object at 0x7f72c041c520>, <shapely.geometry.point.Point object at 0x7f72c041c580>, <shapely.geometry.point.Point object at 0x7f72c041c5e0>, <shapely.geometry.point.Point object at 0x7f72c041c640>]",6,"[-4.0, -15.5, -11.0, -15.0, -11.0, -14.283333]","[17.0, 13.5, 10.0, 12.0, 21.0, 14.366667]",334.0
680,fuc,fus,Fula (Senegal),Africa,SN,15.0,-14.0,Niger-Congo,Peul-Serer,0,L,"['Mali', 'The Gambia', 'Guinea', 'Guinea-Bissau', 'Mauritania', 'Senegal']","['MLI', 'GMB', 'GIN', 'GNB', 'MRT', 'SEN']",5 Developing,,"[0.427, 0.46, 0.459, 0.455, 0.52, 0.505]","[18541980.0, 2100568.0, 12717176.0, 1861283.0, 4420184.0, 15850567.0]","[<shapely.geometry.point.Point object at 0x7f72c041c6a0>, <shapely.geometry.point.Point object at 0x7f72c041c700>, <shapely.geometry.point.Point object at 0x7f72c041c760>, <shapely.geometry.point.Point object at 0x7f72c041c7c0>, <shapely.geometry.point.Point object at 0x7f72c041c820>, <shapely.geometry.point.Point object at 0x7f72c041c880>]",6,"[-4.0, -15.5, -11.0, -15.0, -11.0, -14.283333]","[17.0, 13.5, 10.0, 12.0, 21.0, 14.366667]",334.0
681,fuv,fni,Fulfulde (Nigerian),Africa,NG,10.25,11.25,Niger-Congo,Peul-Serer,0,L,Nigeria,NGA,3 Wider Communication,,0.532,190886311.0,POINT (8 9),1,8.0,9.0,247.0
682,frr,fno,Frisian (North),Eurasia,DE,54.5,9.0,Indo-European,Germanic,0,L,Germany,DEU,7 Shifting,10000.0,0.926,83149300.0,POINT (10 51),1,10.0,51.0,29.0
683,foi,foe,Foe,Papunesia,PG,-6.5,143.5,Trans-New Guinea,Kutubuan,0,L,Papua New Guinea,PNG,5 Developing,,0.555,8935000.0,POINT (147 -6.3),1,147.0,-6.3,346.0
684,fon,fon,Fongbe,Africa,BJ,6.41666666667,2.16666666667,Niger-Congo,Kwa,0,L,"['Togo', 'Benin']","['TGO', 'BEN']",3 Wider Communication,1935500.0,"[0.503, 0.515]","[7797694.0, 11175692.0]","[<shapely.geometry.point.Point object at 0x7f72c041ca00>, <shapely.geometry.point.Point object at 0x7f72c041ca60>]",2,"[1.183333, 2.183333333]","[8.25, 8.833333333]",451.0
685,for,for,Fore,Papunesia,PG,-6.75,145.5,Trans-New Guinea,Eastern Highlands,0,L,Papua New Guinea,PNG,5 Developing,,0.555,8935000.0,POINT (147 -6.3),1,147.0,-6.3,332.0
686,sac,fox,Fox,North America,US,43.0,-83.0,Algic,Algonquian,0,L,United States of America,USA,8a Moribund,,0.92,331449281.0,POINT (-98.5795 39.828175),1,-98.5795,39.828175,28.0
687,fqs,fqs,Momu,Papunesia,PG,-3.0,141.583333333,Baibai-Fas,Baibai-Fas,0,L,Papua New Guinea,PNG,5 Developing,,0.555,8935000.0,POINT (147 -6.3),1,147.0,-6.3,320.0
688,frd,frd,Fordata,Papunesia,ID,-6.75,131.5,Austronesian,Central Malayo-Polynesian,0,L,Indonesia,IDN,6b Threatened,,0.694,270625568.0,POINT (118 -2),1,118.0,-2.0,223.0
