country,countryLabel,point_cn,countryISO
http://www.wikidata.org/entity/Q265,Uzbekistan,Point(66.0 41.0),UZB
http://www.wikidata.org/entity/Q26988,Cook Islands,Point(-159.783333333 -21.233333333),COK
http://www.wikidata.org/entity/Q27561,Caribbean Netherlands,Point(-68.233333333 12.183333333),BES
http://www.wikidata.org/entity/Q2895,Byelorussian Soviet Socialist Republic,Point(29.0 54.0),BYS
http://www.wikidata.org/entity/Q298,Chile,Point(-71.0 -33.0),CHL
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,Point(4.883333333 52.366666666),NLD
http://www.wikidata.org/entity/Q30971,French Polynesia,Point(-149.566666666 -17.533333333),PYF
http://www.wikidata.org/entity/Q31057,Norfolk Island,Point(167.949722222 -29.033333333),NFK
http://www.wikidata.org/entity/Q31063,Christmas Island,Point(105.6275 -10.49),CXR
http://www.wikidata.org/entity/Q334,Singapore,Point(103.8 1.3),SGP
http://www.wikidata.org/entity/Q33788,New Caledonia,Point(165.3 -21.25),NCL
http://www.wikidata.org/entity/Q33946,Czechoslovakia,Point(14.416666666 50.083333333),CSK
http://www.wikidata.org/entity/Q34020,Niue,Point(-169.916666666 -19.05),NIU
http://www.wikidata.org/entity/Q34617,Saint Pierre and Miquelon,Point(-56.275 46.825),SPM
http://www.wikidata.org/entity/Q347,Liechtenstein,Point(9.553889 47.145),LIE
http://www.wikidata.org/entity/Q35086,South Georgia and the South Sandwich Islands,Point(-36.75 -54.25),SGS
http://www.wikidata.org/entity/Q35555,Wallis and Futuna,Point(-178.10932 -14.30181),WLF
http://www.wikidata.org/entity/Q35672,Pitcairn Islands,Point(-130.1045778 -25.0677812),PCN
http://www.wikidata.org/entity/Q36004,Cocos (Keeling) Islands,Point(96.895 -12.1175),CCK
http://www.wikidata.org/entity/Q36823,Tokelau,Point(-171.833333333 -9.166666666),TKL
http://www.wikidata.org/entity/Q37024,Serbia and Montenegro,Point(20.466666666 44.816666666),SCG
http://www.wikidata.org/entity/Q3769,French Guiana,Point(-52.99994 3.99886),GUF
http://www.wikidata.org/entity/Q398,Bahrain,Point(50.551111 26.0675),BHR
http://www.wikidata.org/entity/Q399,Armenia,Point(44.95 40.383333),ARM
http://www.wikidata.org/entity/Q403,Serbia,Point(20.933333333 43.95),SRB
http://www.wikidata.org/entity/Q408,Australia,Point(137.0 -28.0),AUS
http://www.wikidata.org/entity/Q414,Argentina,Point(-64.0 -34.0),ARG
http://www.wikidata.org/entity/Q419,Peru,Point(-76.0 -9.4),PER
http://www.wikidata.org/entity/Q423,North Korea,Point(127.0 40.0),PRK
http://www.wikidata.org/entity/Q424,Cambodia,Point(105.0 12.6),KHM
http://www.wikidata.org/entity/Q43448,British Indian Ocean Territory,Point(71.5 -6.0),IOT
http://www.wikidata.org/entity/Q4628,Faroe Islands,Point(-6.844480555 61.969944444),FRO
http://www.wikidata.org/entity/Q47863,Midway Atoll,Point(-177.37813 28.20935),MID
http://www.wikidata.org/entity/Q47863,Midway Atoll,Point(-177.35 28.2),MID
http://www.wikidata.org/entity/Q5689,Åland,Point(20.0 60.25),ALA
http://www.wikidata.org/entity/Q574,East Timor,Point(125.75 -8.966667),TLS
http://www.wikidata.org/entity/Q5785,Cayman Islands,Point(-80.5 19.5),CYM
http://www.wikidata.org/entity/Q6250,Western Sahara,Point(-13.0 25.0),ESH
http://www.wikidata.org/entity/Q657,Chad,Point(19.4 15.466667),TCD
http://www.wikidata.org/entity/Q664,New Zealand,Point(174.0 -41.2),NZL
http://www.wikidata.org/entity/Q668,India,Point(83.0 22.8),IND
http://www.wikidata.org/entity/Q672,Tuvalu,Point(178.005556 -7.475),TUV
http://www.wikidata.org/entity/Q678,Tonga,Point(-174.810278 -20.587778),TON
http://www.wikidata.org/entity/Q683,Samoa,Point(-172.0 -14.0),WSM
http://www.wikidata.org/entity/Q685,Solomon Islands,Point(159.816666666 -9.466666666),SLB
http://www.wikidata.org/entity/Q686,Vanuatu,Point(168.016669444 -16.633330555),VUT
http://www.wikidata.org/entity/Q691,Papua New Guinea,Point(147.0 -6.3),PNG
http://www.wikidata.org/entity/Q695,Palau,Point(134.55 7.466667),PLW
http://www.wikidata.org/entity/Q697,Nauru,Point(166.933333333 -0.533333333),NRU
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,Point(158.183333333 6.916666666),FSM
